District,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Score,SGP,Included In SGP,Rank,County,PCI,MHI,MFI,Households,Population,DistrictC,Avg. Scaled Score,Salary Totals,Average Salary,FTE Count
Boston,350000,ELA,5828,31,885,5,4943,26,7651,41,5220,28,18699,91,484,33,10075,135,Suffolk,50344,81744,95750,271950,672814,350000,487,481668763,104813,4596
Worcester,3480000,ELA,2743,28,393,4,2350,24,4182,43,2785,29,9710,92,484,30,5507,326,Worcester,30855,56746,71265,78780,203867,3480000,486,171799156,93339,1841
Springfield,2810000,ELA,2245,24,241,3,2004,21,4154,44,3045,32,9444,92,480,23,5188,341,Hampden,23161,43308,54646,58344,155770,2810000,483,155184202,74014,2097
Lowell,1600000,ELA,1633,27,212,3,1421,23,2647,43,1876,30,6156,89,486,26,3707,295,Middlesex,36534,75130,89761,42285,114804,1600000,485,88396989,80950,1092
Lynn,1630000,ELA,1608,24,117,2,1491,22,3213,47,2011,29,6832,96,478,28,3893,332,Essex,29541,63922,75627,36280,100233,1630000,484,94658722,82162,1152
Brockton,440000,ELA,1470,21,107,2,1363,19,3277,46,2360,33,7107,97,481,35,4132,328,Plymouth,30508,68067,79124,35092,104216,440000,481,101375149,102794,986
Lawrence,1490000,ELA,1131,18,102,2,1029,16,2717,43,2506,39,6354,98,479,28,3567,340,Essex,23316,47542,52283,30291,87798,1490000,478,83801771,74603,1123
New Bedford,2010000,ELA,1710,29,169,3,1541,26,2660,45,1537,26,5907,94,484,28,3213,337,Bristol,27583,50581,62189,41395,100309,2010000,487,77632757,78322,991
Newton,2070000,ELA,3797,70,932,17,2865,53,1303,24,292,5,5392,96,510,46,3345,24,Middlesex,81020,164607,201924,21038,88647,2070000,511,101497172,93031,1091
Fall River,950000,ELA,1307,27,139,3,1168,24,2036,42,1450,30,4793,95,480,30,2643,335,Bristol,28561,49613,60181,40862,93339,950000,485,57040698,74117,770
Quincy,2430000,ELA,1957,47,375,9,1582,38,1557,38,612,15,4126,99,497,32,2385,201,Norfolk,44919,82500,97361,44515,100544,2430000,498,63659452,86353,737
Framingham,1000000,ELA,1324,34,229,6,1095,28,1510,39,1022,27,3856,96,482,39,2125,267,Middlesex,39507,87137,103394,27604,72362,1000000,489,68345350,93215,733
Haverhill,1280000,ELA,1181,32,129,3,1052,28,1634,44,917,25,3732,93,486,32,2208,216,Essex,44056,83570,106692,22808,67093,1280000,488,45861438,77182,594
Taunton,2930000,ELA,1257,34,162,4,1095,30,1649,45,791,21,3697,97,484,32,2297,309,Bristol,33862,66787,85478,23159,59076,2930000,490,46842415,88182,531
Lexington,1550000,ELA,2480,75,730,22,1750,53,666,20,141,4,3287,97,520,48,1985,4,Middlesex,96170,202852,235039,12301,34235,1550000,514,58730499,94513,621
Revere,2480000,ELA,1177,35,135,4,1042,31,1504,44,716,21,3397,99,487,30,2034,310,Suffolk,33749,73041,84176,21647,60720,2480000,490,49933012,88991,561
Wachusett,7750000,ELA,1760,57,271,9,1489,48,1115,36,228,7,3103,97,502,36,2010,NA,Worcester,52277,126872,142232,16366,45169,7750000,503,38556190,85000,454
Methuen,1810000,ELA,1205,38,156,5,1049,33,1358,43,596,19,3159,98,486,36,1929,229,Essex,42944,72884,90663,18803,52536,1810000,492,39006024,79604,490
Everett,930000,ELA,658,24,50,2,608,22,1243,44,896,32,2797,89,482,26,1461,322,Middlesex,31599,71510,74657,17007,48368,930000,482,49560097,88232,562
Plymouth,2390000,ELA,1570,51,310,10,1260,41,1129,36,395,13,3094,97,495,41,1914,87,Plymouth,57027,82470,110833,24985,60987,2390000,500,49018424,77353,634
Chicopee,610000,ELA,968,31,109,4,859,28,1406,45,736,24,3110,98,487,28,1851,325,Hampden,31086,56509,68460,23852,55636,610000,489,48888835,83343,587
Brookline,460000,ELA,2189,72,663,22,1526,50,696,23,163,5,3048,98,511,51,1867,18,Norfolk,83318,122356,195101,26762,62620,460000,512,68241445,101158,675
Arlington,100000,ELA,1895,71,492,19,1403,53,631,24,127,5,2653,95,509,49,1621,37,Middlesex,69007,125701,162536,11308,46045,100000,511,38878430,83466,466
Shrewsbury,2710000,ELA,1861,65,415,15,1446,51,786,28,196,7,2843,99,509,35,1763,56,Worcester,54673,88377,117147,19231,38291,2710000,508,35261106,87977,401
Malden,1650000,ELA,1137,41,176,6,961,34,1114,40,551,20,2802,98,488,38,1657,327,Middlesex,30620,64489,77946,32285,65602,1650000,493,39473864,83366,474
Peabody,2290000,ELA,1007,37,102,4,905,33,1230,45,478,18,2715,98,490,33,1674,297,Essex,36180,55938,70189,22208,54200,2290000,492,39624748,92538,428
Leominster,1530000,ELA,948,35,97,4,851,32,1162,44,561,21,2671,97,493,31,1617,305,Worcester,34523,84120,100343,17896,43478,1530000,491,31293361,82721,378
Attleboro,160000,ELA,1134,44,143,6,991,38,1082,42,373,14,2589,98,494,33,1612,275,Bristol,38942,81627,99010,17918,46146,160000,496,34799179,89550,389
Bridgewater-Raynham,6250000,ELA,1227,49,154,6,1073,42,1024,41,277,11,2528,97,497,33,1567,NA,Plymouth/Bristol,42930,103982,124155,14150,43294,6250000,498,30730475,92617,332
Andover,90000,ELA,1704,65,426,16,1278,48,768,29,165,6,2637,99,509,40,1675,19,Essex,83300,193279,237434,13235,36323,90000,508,45752152,94627,484
Chelsea,570000,ELA,644,24,73,3,571,21,1232,45,833,31,2709,95,479,30,1468,336,Suffolk,27627,64782,66175,13353,40025,570000,483,33421047,80108,417
Cambridge,490000,ELA,1227,57,285,13,942,44,636,30,272,13,2135,79,502,35,1120,134,Middlesex,65494,112565,147492,47777,116892,490000,503,74361751,96662,769
Needham,1990000,ELA,1829,72,447,17,1382,54,602,24,125,5,2556,97,510,49,1567,13,Norfolk,87067,182813,225747,11260,31808,1990000,511,41460599,98388,421
Natick,1980000,ELA,1614,65,349,14,1265,51,692,28,170,7,2476,99,507,43,1584,29,Middlesex,75343,140647,193578,25540,36627,1980000,507,36870305,84410,437
Braintree,400000,ELA,1515,59,297,11,1218,47,862,33,207,8,2584,98,503,36,1651,289,Norfolk,37342,64305,90318,14384,38712,400000,504,39172634,90218,434
Fitchburg,970000,ELA,676,29,93,4,583,25,1013,43,679,29,2368,96,484,30,1372,330,Worcester,30300,60466,74731,16398,41796,970000,486,30084051,80611,373
Waltham,3080000,ELA,1008,42,195,8,813,34,978,41,427,18,2413,98,492,42,1356,210,Middlesex,44491,94063,114680,24943,64655,3080000,495,47079599,93006,506
Acton-Boxborough,6000000,ELA,1636,69,388,16,1248,53,618,26,119,5,2373,97,511,43,1486,NA,Middlesex,80178,160359,204633,11498,29360,6000000,510,36991103,91268,405
Weymouth,3360000,ELA,1049,42,146,6,903,37,1012,41,408,17,2469,99,493,31,1537,177,Norfolk,46645,91592,119420,24400,57437,3360000,494,40726588,95490,427
Chelmsford,560000,ELA,1348,61,240,11,1108,50,700,32,170,8,2218,98,502,40,1357,52,Middlesex,60517,145552,175708,17136,36392,560000,505,31266382,82957,377
Billerica,310000,ELA,1102,49,150,7,952,42,900,40,253,11,2255,99,496,34,1438,292,Middlesex,36846,67292,91667,21235,42119,310000,498,35220392,96126,366
Westford,3260000,ELA,1565,73,362,17,1203,56,497,23,93,4,2155,98,512,47,1405,48,Middlesex,65574,123813,149596,15678,24535,3260000,511,32274546,93549,345
Marlborough,1700000,ELA,741,33,105,5,636,28,980,43,543,24,2264,99,484,30,1292,205,Middlesex,44775,86230,108694,17147,41505,1700000,488,33937674,85680,396
Holyoke,1370000,ELA,248,12,13,1,235,11,950,45,925,44,2123,95,469,28,1220,339,Hampden,25744,45045,54321,15062,38480,1370000,475,29659366,72819,407
Beverly,300000,ELA,1045,50,191,9,854,40,790,37,276,13,2111,98,496,32,1318,177,Essex,46645,91592,119420,24400,42448,300000,499,28710045,84765,339
Belmont,260000,ELA,1589,76,423,20,1166,56,404,19,100,5,2093,98,516,39,1258,21,Middlesex,81383,151502,185551,10393,27056,260000,513,28236336,101061,279
Milton,1890000,ELA,1334,65,266,13,1068,52,601,29,126,6,2061,98,506,37,1214,45,Norfolk,66359,115807,157660,8781,28382,1890000,507,27826821,87644,318
Pittsfield,2360000,ELA,701,33,58,3,643,30,964,45,474,22,2139,95,484,29,1208,288,Berkshire,37356,59522,77469,19290,43890,2360000,489,32608948,67083,486
Westfield,3250000,ELA,839,42,114,6,725,37,801,40,341,17,1981,92,489,35,1252,294,Hampden,36635,73692,92373,15292,40922,3250000,494,31064387,75107,414
Franklin,1010000,ELA,1276,60,216,10,1060,50,689,32,160,8,2125,98,504,35,1353,95,Norfolk,55509,127608,160000,12118,33057,1010000,504,32424432,83418,389
Winchester,3440000,ELA,1478,73,318,16,1160,57,481,24,72,4,2031,95,511,37,1256,10,Middlesex,90356,184844,242143,8149,22875,3440000,511,31188348,89442,349
North Andover,2110000,ELA,1105,53,187,9,918,44,770,37,218,10,2093,98,503,37,1316,34,Essex,71327,94375,111667,18628,31468,2110000,501,26858406,83256,323
Somerville,2740000,ELA,781,41,165,9,616,33,722,38,387,20,1890,94,488,34,1116,296,Middlesex,36257,61811,84722,39745,79816,2740000,494,41000926,96677,424
Barnstable,200000,ELA,779,40,88,4,691,35,815,41,372,19,1966,91,488,34,1131,173,Barnstable,46996,82816,105750,30765,48556,200000,493,34915501,85472,409
Hopkinton,1390000,ELA,1357,76,363,20,994,56,348,19,81,5,1786,98,516,44,1120,16,Middlesex,85400,179192,221683,6556,18501,1390000,513,27052621,97102,279
Woburn,3470000,ELA,888,46,125,7,763,40,782,41,249,13,1919,97,492,36,1179,266,Middlesex,39692,68274,85333,15165,40967,3470000,497,32234181,89168,362
Milford,1850000,ELA,777,39,129,6,648,33,807,41,402,20,1986,99,486,38,1152,247,Worcester,41540,89332,103785,11446,30134,1850000,492,29485735,87210,338
Wellesley,3170000,ELA,1535,75,450,22,1085,53,429,21,86,4,2050,98,514,44,1265,3,Norfolk,97262,226250,250000,8668,29365,3170000,514,42357181,100778,420
Reading,2460000,ELA,1119,64,241,14,878,50,517,30,103,6,1739,98,502,42,1138,39,Middlesex,68526,101487,121963,8926,25483,2460000,507,26347309,83378,316
North Attleborough,2120000,ELA,1115,58,189,10,926,48,674,35,135,7,1924,99,497,39,1220,160,Bristol,47877,97967,129573,12273,30557,2120000,504,24304325,83320,292
Dracut,790000,ELA,803,44,116,6,687,38,747,41,262,14,1812,100,492,32,1135,239,Middlesex,42008,95229,113068,12370,32356,790000,496,17000491,73058,233
Melrose,1780000,ELA,1055,63,267,16,788,47,507,30,117,7,1679,97,505,38,999,213,Middlesex,44361,100337,115069,15621,29567,1780000,507,21314707,76369,279
Medford,1760000,ELA,695,45,111,7,584,38,606,39,245,16,1546,87,492,41,897,269,Middlesex,39485,94298,125828,28321,60708,1760000,496,33842913,88179,384
Westborough,3210000,ELA,1252,72,346,20,906,52,387,22,93,5,1732,97,509,53,1026,179,Worcester,46536,76859,97765,7980,21213,3210000,512,27186397,80888,336
West Springfield,3320000,ELA,710,41,100,6,610,35,740,43,279,16,1729,97,490,37,1046,278,Hampden,38318,60023,83912,12734,28814,3320000,494,24365256,75225,324
Hingham,1310000,ELA,1404,77,472,26,932,51,376,21,46,3,1826,99,511,50,1145,9,Plymouth,91263,154300,222016,9252,24061,1310000,516,29708811,99261,299
Sudbury,2880000,ELA,1251,73,330,19,921,54,397,23,72,4,1720,98,511,47,1107,15,Middlesex,86008,217847,228426,6208,18912,2880000,513,20269181,100892,201
Dudley-Charlton Reg,6580000,ELA,838,51,106,6,732,44,636,38,178,11,1652,99,493,37,1089,NA,,37420,92011,111658,8975,25202,6580000,499,21797738,80494,271
Salem,2580000,ELA,547,34,60,4,487,31,697,44,350,22,1594,88,482,32,876,83,Essex,58437,108896,119739,10326,44819,2580000,490,30700081,94870,324
Walpole,3070000,ELA,1019,62,170,10,849,52,483,30,135,8,1637,99,507,36,1034,54,Norfolk,57066,138821,170250,9156,26413,3070000,505,23997894,84948,283
Sharon,2660000,ELA,1119,70,257,16,862,54,417,26,67,4,1603,97,511,39,1022,35,Norfolk,71247,157928,173170,6395,18477,2660000,510,24638495,100647,245
Burlington,480000,ELA,860,56,147,10,713,46,540,35,146,9,1546,94,502,39,889,105,Middlesex,53430,123630,142403,10628,23311,480000,502,31257450,99104,315
Marshfield,1710000,ELA,1085,65,250,15,835,50,479,29,109,7,1673,95,503,37,1056,41,Plymouth,67267,122914,159380,10243,25793,1710000,508,26840672,80506,333
Whitman-Hanson,7800000,ELA,803,49,131,8,672,41,667,40,179,11,1649,96,495,36,1077,NA,,45013,102019,117887,9604,25717,7800000,499,22051296,89567,246
Dartmouth,720000,ELA,817,53,156,10,661,43,586,38,145,9,1548,96,501,40,989,250,Bristol,41307,95404,114492,11863,34054,720000,502,22738042,84371,270
Wakefield,3050000,ELA,818,53,103,7,715,46,574,37,151,10,1543,97,500,36,974,118,Middlesex,51645,78884,106466,10849,27041,3050000,500,22785638,85789,266
Easton,880000,ELA,922,58,160,10,762,48,551,35,119,7,1592,96,504,38,1061,102,Bristol,53994,112116,148924,8993,24962,880000,504,21415739,86598,247
Norwood,2200000,ELA,652,44,88,6,564,38,609,41,234,16,1495,98,495,31,859,57,Norfolk,54645,96414,120146,13002,31256,2200000,495,25521233,85184,300
Stoughton,2850000,ELA,638,41,70,5,568,37,697,45,207,13,1542,98,493,32,967,212,Norfolk,44380,94823,114453,11277,29028,2850000,495,26550116,88471,300
Danvers,710000,ELA,733,50,115,8,618,42,586,40,158,11,1477,93,495,35,926,139,Essex,49862,105654,122147,10964,27966,710000,499,23334558,92451,252
Tewksbury,2950000,ELA,836,56,149,10,687,46,528,35,136,9,1500,99,495,44,929,107,Middlesex,50133,111696,131781,12025,31153,2950000,502,21857938,86532,253
Mansfield,1670000,ELA,939,60,120,8,819,52,501,32,129,8,1569,99,504,41,1018,55,Bristol,55451,122274,143500,8707,23768,1670000,503,27020092,91284,296
Agawam,50000,ELA,567,43,67,5,500,38,579,44,171,13,1317,83,492,32,776,230,Hampden,42754,78619,104743,11785,28715,50000,496,26272816,85887,306
Canton,500000,ELA,890,60,166,11,724,49,460,31,125,8,1475,98,504,38,926,44,Norfolk,66512,83992,118750,10002,24122,500000,504,22903929,93030,246
Grafton,1100000,ELA,837,58,130,9,707,49,486,34,125,9,1448,95,502,40,948,112,Worcester,52350,107237,134459,7468,19540,1100000,503,19752120,78413,252
North Middlesex,7350000,ELA,734,52,116,8,618,44,533,38,151,11,1418,98,493,38,908,NA,,47963,118278,129679,21156,56855,7350000,500,18889999,77865,243
Falmouth,960000,ELA,797,55,173,12,624,43,491,34,161,11,1449,98,498,43,909,84,Middlesex,57906,110372,142171,18943,32526,960000,502,25901892,88493,293
Nashoba,7250000,ELA,959,66,209,14,750,52,419,29,74,5,1452,99,504,39,946,NA,,55118,138138,150779,7317,21164,7250000,508,22447099,84578,265
Middleborough,1820000,ELA,568,43,68,5,500,38,531,40,214,16,1313,92,493,36,835,219,Plymouth,43754,81809,92684,9727,24219,1820000,495,17710437,77882,227
Freetown-Lakeville,6650000,ELA,617,50,97,8,520,42,490,40,133,11,1240,94,499,36,774,NA,,46154,111158,124250,7531,20679,6650000,499,15504327,77990,199
Wilmington,3420000,ELA,755,56,87,6,668,50,477,35,114,8,1346,93,501,35,870,106,Middlesex,53283,117909,143614,13808,36271,3420000,501,23437337,87160,269
Dennis-Yarmouth,6450000,ELA,521,40,72,6,449,35,549,42,226,17,1296,96,488,41,758,NA,,57208,115745,134572,17693,39554,6450000,494,23886410,88109,271
Concord,670000,ELA,938,70,200,15,738,55,344,26,60,4,1342,98,509,37,828,12,Middlesex,87603,70000,118750,6722,18424,670000,509,18533618,108511,171
Westwood,3350000,ELA,991,75,330,25,661,50,271,21,54,4,1316,99,511,44,852,28,Norfolk,75396,171071,204657,5424,16066,3350000,515,24115421,99445,243
Ashland,140000,ELA,740,58,156,12,584,46,406,32,134,10,1280,98,505,44,789,82,Middlesex,59092,115959,146923,7587,18646,140000,503,17508149,84499,207
Scituate,2640000,ELA,789,64,160,13,629,51,372,30,66,5,1227,98,505,36,790,36,Plymouth,70543,72904,96979,7549,19016,2640000,507,22018561,91325,241
Gloucester,1070000,ELA,540,44,83,7,457,37,515,41,186,15,1241,99,491,34,769,85,Essex,57613,140192,149911,13168,29814,1070000,496,23092752,86360,267
Wayland,3150000,ELA,910,73,207,17,703,57,293,24,36,3,1239,96,515,44,744,14,Middlesex,86947,203789,234051,4779,13859,3150000,511,24141190,105651,229
Holliston,1360000,ELA,817,61,139,10,678,51,418,31,99,7,1334,98,506,45,858,42,Middlesex,66563,142348,166912,5485,14891,1360000,505,18184066,87172,209
Hanover,1220000,ELA,707,59,125,10,582,49,403,34,87,7,1197,99,504,43,769,58,Plymouth,59268,149048,165064,4744,14742,1220000,504,17699719,89078,199