District,DistrictC,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Abby Kelley Foster Charter Public (District),4450000,ELA,258,37,22,3,236,34,324,47,112,16,694,99,492,32,449
Abby Kelley Foster Charter Public (District),4450000,MATH,109,16,4,1,105,15,398,57,187,27,694,99,480,22,449
Abby Kelley Foster Charter Public (District),4450000,SCI,59,27,6,3,53,25,118,55,38,18,215,100,489,,
Abington,10000,ELA,479,53,85,9,394,44,300,33,122,14,901,95,500,39,546
Abington,10000,MATH,294,33,36,4,258,29,453,51,147,16,894,94,490,25,538
Abington,10000,SCI,121,43,18,6,103,37,131,47,28,10,280,94,497,,
Academy Of the Pacific Rim Charter Public (District),4120000,ELA,65,25,4,2,61,23,120,46,76,29,261,96,483,31,245
Academy Of the Pacific Rim Charter Public (District),4120000,MATH,26,10,1,0,25,9,146,55,92,35,264,97,477,24,249
Academy Of the Pacific Rim Charter Public (District),4120000,SCI,12,13,0,0,12,13,49,53,31,34,92,89,478,,
Acton-Boxborough,6000000,ELA,1636,69,388,16,1248,53,618,26,119,5,2373,97,510,43,1486
Acton-Boxborough,6000000,MATH,1553,65,386,16,1167,49,668,28,152,6,2373,97,508,53,1483
Acton-Boxborough,6000000,SCI,496,67,146,20,350,48,204,28,35,5,735,97,510,,
Acushnet,30000,ELA,298,51,55,9,243,42,219,38,67,11,584,98,501,35,372
Acushnet,30000,MATH,245,42,27,5,218,37,267,46,71,12,583,98,496,32,375
Acushnet,30000,SCI,80,39,10,5,70,34,85,42,38,19,203,99,494,,
Advanced Math and Science Academy Charter (District),4300000,ELA,232,65,46,13,186,52,114,32,12,3,358,96,509,41,311
Advanced Math and Science Academy Charter (District),4300000,MATH,183,51,53,15,130,36,150,41,29,8,362,97,503,33,316
Advanced Math and Science Academy Charter (District),4300000,SCI,48,64,3,4,45,60,26,35,1,1,75,96,506,,
Agawam,50000,ELA,567,43,67,5,500,38,579,44,171,13,1317,83,496,32,776
Agawam,50000,MATH,442,34,52,4,390,30,642,49,231,18,1315,83,491,27,775
Agawam,50000,SCI,156,44,16,5,140,40,148,42,50,14,354,71,496,,
Alma del Mar Charter School (District),4090000,ELA,208,43,23,5,185,38,202,42,74,15,484,99,494,31,307
Alma del Mar Charter School (District),4090000,MATH,106,22,6,1,100,21,255,53,123,25,484,99,483,15,307
Alma del Mar Charter School (District),4090000,SCI,18,20,1,1,17,19,47,53,23,26,88,100,482,,
Amesbury,70000,ELA,411,48,70,8,341,40,306,36,135,16,852,95,497,36,549
Amesbury,70000,MATH,259,31,18,2,241,29,409,48,177,21,845,94,489,31,543
Amesbury,70000,SCI,123,44,17,6,106,38,112,40,43,15,278,96,496,,
Amherst,80000,ELA,197,58,44,13,153,45,105,31,39,11,341,61,503,41,139
Amherst,80000,MATH,140,41,15,4,125,37,122,36,80,23,342,60,492,36,140
Amherst,80000,SCI,44,46,5,5,39,41,33,35,18,19,95,63,497,,
Amherst-Pelham,6050000,ELA,61,64,10,11,51,54,20,21,14,15,95,23,506,45,79
Amherst-Pelham,6050000,MATH,58,54,11,10,47,44,35,33,14,13,107,26,504,33,91
Amherst-Pelham,6050000,SCI,27,68,6,15,21,53,8,20,5,13,40,20,510,,
Andover,90000,ELA,1704,65,426,16,1278,48,768,29,165,6,2637,99,508,40,1675
Andover,90000,MATH,1517,57,336,13,1181,45,906,34,218,8,2641,99,504,42,1680
Andover,90000,SCI,547,63,132,15,415,48,263,30,53,6,863,99,507,,
Argosy Collegiate Charter School (District),35090000,ELA,57,18,2,1,55,18,160,51,95,30,312,96,481,21,285
Argosy Collegiate Charter School (District),35090000,MATH,41,13,1,0,40,13,175,56,98,31,314,97,479,18,286
Argosy Collegiate Charter School (District),35090000,SCI,9,14,1,2,8,13,36,56,19,30,64,96,481,,
Arlington,100000,ELA,1895,71,492,19,1403,53,631,24,127,5,2653,95,511,49,1621
Arlington,100000,MATH,1572,59,282,11,1290,49,905,34,171,6,2648,95,504,42,1622
Arlington,100000,SCI,521,69,136,18,385,51,186,25,49,6,756,96,510,,
Ashburnham-Westminster,6100000,ELA,551,52,60,6,491,47,434,41,70,7,1055,99,501,46,695
Ashburnham-Westminster,6100000,MATH,358,34,14,1,344,33,570,54,126,12,1054,98,492,34,695
Ashburnham-Westminster,6100000,SCI,150,44,13,4,137,40,175,51,15,4,340,98,498,,
Ashland,140000,ELA,740,58,156,12,584,46,406,32,134,10,1280,98,503,44,789
Ashland,140000,MATH,621,48,118,9,503,39,476,37,184,14,1281,98,498,44,789
Ashland,140000,SCI,224,55,42,10,182,45,134,33,49,12,407,97,501,,
Athol-Royalston,6150000,ELA,230,32,25,4,205,29,314,44,168,24,712,97,488,31,417
Athol-Royalston,6150000,MATH,157,22,14,2,143,20,361,50,198,28,716,97,483,29,419
Athol-Royalston,6150000,SCI,65,32,10,5,55,27,92,46,44,22,201,96,490,,
Atlantis Charter (District),4910000,ELA,257,39,32,5,225,34,293,45,103,16,653,100,493,31,426
Atlantis Charter (District),4910000,MATH,154,24,5,1,149,23,355,54,144,22,653,100,485,25,426
Atlantis Charter (District),4910000,SCI,56,29,5,3,51,26,101,52,37,19,194,100,488,,
Attleboro,160000,ELA,1134,44,143,6,991,38,1082,42,373,14,2589,98,496,33,1612
Attleboro,160000,MATH,840,32,77,3,763,29,1245,48,504,19,2589,98,490,30,1613
Attleboro,160000,SCI,329,39,48,6,281,33,370,44,140,17,839,98,494,,
Auburn,170000,ELA,596,52,104,9,492,43,439,38,122,11,1157,97,501,32,760
Auburn,170000,MATH,475,41,55,5,420,36,528,46,155,13,1158,97,495,32,760
Auburn,170000,SCI,192,52,35,10,157,43,138,38,36,10,366,97,502,,
Avon,180000,ELA,155,46,19,6,136,40,136,40,47,14,338,97,497,39,216
Avon,180000,MATH,77,23,7,2,70,21,179,53,83,24,339,98,485,36,216
Avon,180000,SCI,41,37,1,1,40,36,53,47,18,16,112,96,491,,
Ayer Shirley School District,6160000,ELA,355,46,44,6,311,40,334,43,82,11,771,95,497,37,482
Ayer Shirley School District,6160000,MATH,216,28,21,3,195,25,428,56,126,16,770,95,489,28,483
Ayer Shirley School District,6160000,SCI,111,45,13,5,98,40,110,44,27,11,248,94,497,,
Barnstable,200000,ELA,779,40,88,4,691,35,815,41,372,19,1966,91,493,34,1131
Barnstable,200000,MATH,440,22,32,2,408,21,1029,52,493,25,1962,91,484,24,1144
Barnstable,200000,SCI,208,32,26,4,182,28,309,48,125,19,642,92,490,,
Baystate Academy Charter Public School (District),35020000,ELA,44,20,4,2,40,18,95,42,85,38,224,97,479,25,208
Baystate Academy Charter Public School (District),35020000,MATH,13,6,0,0,13,6,120,55,87,40,220,95,473,14,205
Baystate Academy Charter Public School (District),35020000,SCI,4,8,0,0,4,8,31,58,18,34,53,98,477,,
Bedford,230000,ELA,865,72,238,20,627,53,280,23,49,4,1194,98,512,45,742
Bedford,230000,MATH,783,66,186,16,597,50,352,29,59,5,1194,98,509,45,743
Bedford,230000,SCI,242,64,71,19,171,45,126,33,11,3,379,98,509,,
Belchertown,240000,ELA,409,45,49,5,360,40,380,42,113,13,902,90,496,38,584
Belchertown,240000,MATH,291,32,19,2,272,30,477,53,139,15,907,91,490,39,589
Belchertown,240000,SCI,134,46,22,8,112,38,124,42,35,12,293,91,498,,
Bellingham,250000,ELA,370,39,46,5,324,34,448,47,128,14,946,98,495,36,600
Bellingham,250000,MATH,266,28,27,3,239,25,511,54,171,18,948,98,489,33,602
Bellingham,250000,SCI,119,40,13,4,106,35,157,52,24,8,300,95,497,,
Belmont,260000,ELA,1589,76,423,20,1166,56,404,19,100,5,2093,98,513,39,1258
Belmont,260000,MATH,1406,67,382,18,1024,49,578,28,110,5,2094,98,509,34,1258
Belmont,260000,SCI,442,72,134,22,308,50,148,24,28,5,618,98,512,,
Benjamin Banneker Charter Public (District),4200000,ELA,124,71,36,21,88,50,38,22,13,7,175,98,509,42,78
Benjamin Banneker Charter Public (District),4200000,MATH,81,46,10,6,71,41,78,45,16,9,175,98,498,26,78
Benjamin Banneker Charter Public (District),4200000,SCI,30,71,6,14,24,57,10,24,2,5,42,100,508,,
Benjamin Franklin Classical Charter Public (District),4470000,ELA,302,63,45,9,257,54,157,33,18,4,477,98,506,36,279
Benjamin Franklin Classical Charter Public (District),4470000,MATH,246,51,50,10,196,41,195,41,37,8,478,98,502,27,283
Benjamin Franklin Classical Charter Public (District),4470000,SCI,88,63,16,11,72,51,48,34,4,3,140,99,505,,
Berkley,270000,ELA,307,53,59,10,248,43,223,39,45,8,575,99,502,41,382
Berkley,270000,MATH,235,41,31,5,204,36,283,49,56,10,574,99,495,36,380
Berkley,270000,SCI,82,43,8,4,74,39,98,52,9,5,189,99,498,,
Berkshire Arts and Technology Charter Public (District),4140000,ELA,84,47,15,8,69,39,56,32,37,21,177,91,495,38,159
Berkshire Arts and Technology Charter Public (District),4140000,MATH,50,28,3,2,47,26,90,50,39,22,179,92,487,25,160
Berkshire Arts and Technology Charter Public (District),4140000,SCI,19,40,4,8,15,31,21,44,8,17,48,94,496,,
Berkshire Hills,6180000,ELA,189,43,26,6,163,37,188,43,62,14,439,95,496,34,277
Berkshire Hills,6180000,MATH,123,28,5,1,118,27,219,50,99,22,441,95,487,24,279
Berkshire Hills,6180000,SCI,58,35,1,1,57,34,79,48,29,17,166,92,491,,
Berlin-Boylston,6200000,ELA,308,67,67,15,241,52,128,28,26,6,462,98,507,44,295
Berlin-Boylston,6200000,MATH,211,46,27,6,184,40,213,46,38,8,462,98,498,30,293
Berlin-Boylston,6200000,SCI,101,65,32,21,69,45,50,32,4,3,155,97,510,,
Beverly,300000,ELA,1045,50,191,9,854,40,790,37,276,13,2111,98,499,32,1318
Beverly,300000,MATH,755,36,84,4,671,32,996,47,358,17,2109,97,492,24,1320
Beverly,300000,SCI,262,40,43,7,219,34,279,43,106,16,647,96,494,,
Billerica,310000,ELA,1102,49,150,7,952,42,900,40,253,11,2255,99,498,34,1438
Billerica,310000,MATH,740,33,78,3,662,29,1167,52,348,15,2255,99,491,23,1440
Billerica,310000,SCI,303,41,43,6,260,35,345,46,97,13,745,99,495,,
Blackstone-Millville,6220000,ELA,343,45,43,6,300,40,312,41,99,13,754,99,496,36,497
Blackstone-Millville,6220000,MATH,243,32,16,2,227,30,389,52,122,16,754,99,490,34,497
Blackstone-Millville,6220000,SCI,87,36,11,5,76,31,117,48,40,16,244,97,492,,
Boston,350000,ELA,5828,31,885,5,4943,26,7651,41,5220,28,18699,91,487,33,10075
Boston,350000,MATH,3709,20,492,3,3217,17,7759,42,7210,39,18678,91,479,27,10096
Boston,350000,SCI,869,19,119,3,750,16,2025,44,1746,38,4640,87,480,,
Boston Collegiate Charter (District),4490000,ELA,142,37,13,3,129,34,175,46,66,17,383,99,492,33,314
Boston Collegiate Charter (District),4490000,MATH,109,29,9,2,100,26,207,54,66,17,382,99,489,32,312
Boston Collegiate Charter (District),4490000,SCI,48,30,2,1,46,29,90,56,23,14,161,99,490,,
Boston Green Academy Horace Mann Charter School (District),4110000,ELA,19,14,3,2,16,12,69,50,51,37,139,82,478,26,131
Boston Green Academy Horace Mann Charter School (District),4110000,MATH,7,4,0,0,7,4,89,57,60,38,156,91,475,25,145
Boston Green Academy Horace Mann Charter School (District),4110000,SCI,3,9,0,0,3,9,15,45,15,45,33,79,476,,
Boston Preparatory Charter Public (District),4160000,ELA,88,29,13,4,75,25,144,48,70,23,302,97,488,39,281
Boston Preparatory Charter Public (District),4160000,MATH,42,14,2,1,40,13,180,59,83,27,305,98,481,27,283
Boston Preparatory Charter Public (District),4160000,SCI,13,19,2,3,11,16,43,61,14,20,70,95,485,,
Boston Renaissance Charter Public (District),4810000,ELA,110,27,11,3,99,24,211,52,84,21,405,97,487,29,150
Boston Renaissance Charter Public (District),4810000,MATH,50,12,3,1,47,12,179,44,178,44,407,98,474,18,150
Boston Renaissance Charter Public (District),4810000,SCI,20,21,3,3,17,18,37,39,37,39,94,94,480,,
Bourne,360000,ELA,316,39,30,4,286,35,347,43,144,18,807,94,492,30,514
Bourne,360000,MATH,223,27,8,1,215,26,430,53,159,20,812,95,487,30,516
Bourne,360000,SCI,97,35,15,5,82,30,140,51,39,14,276,95,493,,
Boxford,380000,ELA,249,65,41,11,208,54,117,30,19,5,385,99,506,46,190
Boxford,380000,MATH,191,50,20,5,171,44,163,42,31,8,385,99,499,49,190
Boxford,380000,SCI,64,58,7,6,57,51,40,36,7,6,111,100,503,,
Braintree,400000,ELA,1515,59,297,11,1218,47,862,33,207,8,2584,98,504,36,1651
Braintree,400000,MATH,1155,45,148,6,1007,39,1146,44,284,11,2585,98,497,32,1649
Braintree,400000,SCI,428,53,77,10,351,44,292,36,82,10,802,97,501,,
Brewster,410000,ELA,107,54,15,8,92,46,78,39,14,7,199,93,501,32,65
Brewster,410000,MATH,72,36,9,5,63,32,95,48,32,16,199,93,491,27,65
Brewster,410000,SCI,39,55,9,13,30,42,25,35,7,10,71,90,503,,
Bridge Boston Charter School (District),4170000,ELA,45,28,3,2,42,27,82,52,31,20,158,82,487,26,94
Bridge Boston Charter School (District),4170000,MATH,24,15,4,3,20,13,77,49,56,36,157,82,478,29,92
Bridge Boston Charter School (District),4170000,SCI,7,14,0,0,7,14,26,53,16,33,49,89,479,,
Bridgewater-Raynham,6250000,ELA,1227,49,154,6,1073,42,1024,41,277,11,2528,97,498,33,1567
Bridgewater-Raynham,6250000,MATH,1008,40,85,3,923,37,1199,47,318,13,2525,97,494,31,1564
Bridgewater-Raynham,6250000,SCI,362,45,44,6,318,40,329,41,105,13,796,94,496,,
Brimfield,430000,ELA,85,55,13,8,72,47,54,35,15,10,154,97,502,47,74
Brimfield,430000,MATH,81,52,9,6,72,46,56,36,18,12,155,97,500,51,74
Brimfield,430000,SCI,20,63,5,16,15,47,10,31,2,6,32,100,505,,
Brockton,440000,ELA,1470,21,107,2,1363,19,3277,46,2360,33,7107,97,481,35,4132
Brockton,440000,MATH,781,11,43,1,738,10,3102,44,3229,45,7112,97,474,28,4125
Brockton,440000,SCI,348,16,30,1,318,14,991,45,859,39,2198,94,479,,
Brooke Charter School (District),4280000,ELA,588,53,158,14,430,39,428,39,85,8,1101,99,503,40,650
Brooke Charter School (District),4280000,MATH,499,45,51,5,448,41,486,44,113,10,1098,99,497,31,651
Brooke Charter School (District),4280000,SCI,109,41,11,4,98,37,121,45,37,14,267,97,494,,
Brookfield,450000,ELA,87,59,12,8,75,51,45,30,16,11,148,100,501,38,74
Brookfield,450000,MATH,76,51,17,11,59,40,58,39,14,9,148,100,501,56,75
Brookfield,450000,SCI,27,66,8,20,19,46,12,29,2,5,41,100,510,,
Brookline,460000,ELA,2189,72,663,22,1526,50,696,23,163,5,3048,98,512,51,1867
Brookline,460000,MATH,1953,64,492,16,1461,48,848,28,233,8,3034,97,507,47,1859
Brookline,460000,SCI,663,67,166,17,497,50,276,28,53,5,992,96,508,,
Burlington,480000,ELA,860,56,147,10,713,46,540,35,146,9,1546,94,502,39,889
Burlington,480000,MATH,762,50,134,9,628,41,610,40,166,11,1538,93,500,36,882
Burlington,480000,SCI,195,42,23,5,172,37,218,46,56,12,469,93,496,,
Cambridge,490000,ELA,1227,57,285,13,942,44,636,30,272,13,2135,79,503,35,1120
Cambridge,490000,MATH,831,39,159,7,672,32,874,41,416,20,2121,78,494,28,1108
Cambridge,490000,SCI,260,47,59,11,201,36,207,37,90,16,557,73,498,,
Canton,500000,ELA,890,60,166,11,724,49,460,31,125,8,1475,98,504,38,926
Canton,500000,MATH,657,45,96,7,561,38,636,43,178,12,1471,97,497,28,922
Canton,500000,SCI,233,53,45,10,188,42,159,36,51,12,443,97,500,,
Cape Cod Lighthouse Charter (District),4320000,ELA,146,60,22,9,124,51,76,31,20,8,242,96,503,40,219
Cape Cod Lighthouse Charter (District),4320000,MATH,88,37,4,2,84,35,123,52,27,11,238,95,493,24,215
Cape Cod Lighthouse Charter (District),4320000,SCI,31,42,2,3,29,39,38,51,5,7,74,91,498,,
Carlisle,510000,ELA,304,76,78,19,226,56,82,20,15,4,401,98,513,43,244
Carlisle,510000,MATH,275,69,75,19,200,50,107,27,19,5,401,98,511,46,243
Carlisle,510000,SCI,99,81,41,34,58,48,18,15,5,4,122,97,519,,
Carver,520000,ELA,274,39,14,2,260,37,340,49,84,12,698,97,494,34,415
Carver,520000,MATH,155,22,5,1,150,22,406,59,129,19,690,96,486,29,409
Carver,520000,SCI,75,33,6,3,69,31,115,51,34,15,224,98,492,,
Central Berkshire,6350000,ELA,294,45,64,10,230,35,267,41,97,15,658,99,497,39,409
Central Berkshire,6350000,MATH,190,29,19,3,171,26,346,53,122,19,658,98,488,29,408
Central Berkshire,6350000,SCI,77,37,14,7,63,30,102,49,31,15,210,97,493,,
Chelmsford,560000,ELA,1348,61,240,11,1108,50,700,32,170,8,2218,98,505,40,1357
Chelmsford,560000,MATH,942,42,154,7,788,36,999,45,278,13,2219,98,497,32,1357
Chelmsford,560000,SCI,353,53,71,11,282,43,241,37,66,10,660,97,502,,
Chelsea,570000,ELA,644,24,73,3,571,21,1232,45,833,31,2709,95,483,30,1468
Chelsea,570000,MATH,324,12,27,1,297,11,1221,45,1183,43,2728,96,475,20,1495
Chelsea,570000,SCI,80,13,5,1,75,12,293,47,250,40,623,93,477,,
Chesterfield-Goshen,6320000,ELA,32,50,4,6,28,44,25,39,7,11,64,100,497,50,27
Chesterfield-Goshen,6320000,MATH,25,39,0,0,25,39,23,36,16,25,64,100,490,55,27
Chesterfield-Goshen,6320000,SCI,6,43,0,0,6,43,7,50,1,7,14,100,498,,
Chicopee,610000,ELA,968,31,109,4,859,28,1406,45,736,24,3110,98,489,28,1851
Chicopee,610000,MATH,570,19,31,1,539,18,1615,52,893,29,3078,97,482,23,1827
Chicopee,610000,SCI,234,30,26,3,208,26,367,46,190,24,791,94,488,,
Christa McAuliffe Charter School (District),4180000,ELA,164,42,15,4,149,38,165,43,59,15,388,98,495,37,352
Christa McAuliffe Charter School (District),4180000,MATH,120,31,11,3,109,28,197,51,71,18,388,98,489,27,353
Christa McAuliffe Charter School (District),4180000,SCI,44,46,7,7,37,39,41,43,10,11,95,92,498,,
Clarksburg,630000,ELA,67,48,9,6,58,41,66,47,7,5,140,100,499,33,89
Clarksburg,630000,MATH,32,23,0,0,32,23,95,68,13,9,140,100,487,35,89
Clarksburg,630000,SCI,12,25,1,2,11,23,31,65,5,10,48,100,490,,
Clinton,640000,ELA,290,35,28,3,262,31,362,43,184,22,836,97,490,40,508
Clinton,640000,MATH,154,18,10,1,144,17,438,52,245,29,837,98,481,32,508
Clinton,640000,SCI,77,28,7,3,70,26,151,56,43,16,271,96,489,,
Codman Academy Charter Public (District),4380000,ELA,17,13,0,0,17,13,74,58,36,28,127,98,480,32,85
Codman Academy Charter Public (District),4380000,MATH,6,5,0,0,6,5,57,45,63,50,126,98,469,27,84
Codman Academy Charter Public (District),4380000,SCI,4,10,0,0,4,10,22,56,13,33,39,100,478,,
Cohasset,650000,ELA,455,70,84,13,371,57,175,27,17,3,647,98,510,42,418
Cohasset,650000,MATH,292,45,11,2,281,43,310,48,46,7,648,98,497,30,420
Cohasset,650000,SCI,113,57,26,13,87,44,75,38,9,5,197,99,505,,
Collegiate Charter School of Lowell (District),35030000,ELA,285,44,33,5,252,38,290,44,80,12,655,99,495,40,384
Collegiate Charter School of Lowell (District),35030000,MATH,140,21,14,2,126,19,396,61,116,18,652,98,487,32,380
Collegiate Charter School of Lowell (District),35030000,SCI,56,34,6,4,50,30,82,49,28,17,166,98,491,,
Community Charter School of Cambridge (District),4360000,ELA,62,46,9,7,53,40,55,41,17,13,134,100,498,33,123
Community Charter School of Cambridge (District),4360000,MATH,46,34,4,3,42,31,66,49,23,17,135,100,490,31,123
Community Charter School of Cambridge (District),4360000,SCI,12,32,0,0,12,32,18,47,8,21,38,97,489,,
Community Day Charter Public School (District),4400000,ELA,125,47,24,9,101,38,105,39,38,14,268,100,498,34,168
Community Day Charter Public School (District),4400000,MATH,102,38,7,3,95,35,135,50,31,12,268,100,493,25,168
Community Day Charter Public School (District),4400000,SCI,25,37,2,3,23,34,35,51,8,12,68,100,493,,
Community Day Charter Public School - Gateway (District),4260000,ELA,122,50,24,10,98,40,87,36,34,14,243,100,498,26,157
Community Day Charter Public School - Gateway (District),4260000,MATH,103,43,8,3,95,39,93,38,46,19,242,100,492,19,156
Community Day Charter Public School - Gateway (District),4260000,SCI,25,38,3,5,22,33,27,41,14,21,66,100,493,,
Community Day Charter Public School - R. Kingman Webster (District),4310000,ELA,124,52,21,9,103,43,94,39,21,9,239,100,500,30,150
Community Day Charter Public School - R. Kingman Webster (District),4310000,MATH,90,38,9,4,81,34,115,48,34,14,239,100,492,14,150
Community Day Charter Public School - R. Kingman Webster (District),4310000,SCI,19,31,3,5,16,26,32,52,10,16,61,100,492,,
Concord,670000,ELA,938,70,200,15,738,55,344,26,60,4,1342,98,509,37,828
Concord,670000,MATH,804,60,159,12,645,48,447,33,91,7,1342,98,504,28,827
Concord,670000,SCI,301,67,69,15,232,51,127,28,23,5,451,98,508,,
Conservatory Lab Charter (District),4390000,ELA,82,34,11,5,71,29,121,50,40,16,243,100,491,33,133
Conservatory Lab Charter (District),4390000,MATH,42,18,4,2,38,16,106,44,92,38,240,98,477,20,132
Conservatory Lab Charter (District),4390000,SCI,21,32,2,3,19,29,30,46,14,22,65,97,489,,
Conway,680000,ELA,41,59,7,10,34,49,26,38,2,3,69,96,505,38,34
Conway,680000,MATH,32,46,7,10,25,36,35,51,2,3,69,96,498,20,34
Conway,680000,SCI,11,52,1,5,10,48,10,48,0,0,21,100,508,,
Danvers,710000,ELA,733,50,115,8,618,42,586,40,158,11,1477,93,499,35,926
Danvers,710000,MATH,554,38,51,3,503,34,696,47,220,15,1470,93,493,29,919
Danvers,710000,SCI,190,42,33,7,157,35,205,45,59,13,454,91,496,,
Dartmouth,720000,ELA,817,53,156,10,661,43,586,38,145,9,1548,96,502,40,989
Dartmouth,720000,MATH,636,41,57,4,579,37,722,47,190,12,1548,96,495,36,984
Dartmouth,720000,SCI,216,43,33,7,183,36,222,44,67,13,505,95,496,,
Dedham,730000,ELA,556,48,85,7,471,41,424,37,171,15,1151,97,497,33,746
Dedham,730000,MATH,438,38,62,5,376,33,546,47,166,14,1150,97,494,35,745
Dedham,730000,SCI,152,41,22,6,130,35,153,42,63,17,368,95,495,,
Deerfield,740000,ELA,82,46,11,6,71,40,73,41,24,13,179,95,495,27,81
Deerfield,740000,MATH,49,28,6,3,43,24,94,53,35,20,178,95,489,29,81
Deerfield,740000,SCI,17,46,7,19,10,27,16,43,4,11,37,97,500,,
Dennis-Yarmouth,6450000,ELA,521,40,72,6,449,35,549,42,226,17,1296,96,494,41,758
Dennis-Yarmouth,6450000,MATH,373,29,36,3,337,26,628,48,296,23,1297,97,488,30,761
Dennis-Yarmouth,6450000,SCI,154,37,26,6,128,31,178,43,80,19,412,93,492,,
Dighton-Rehoboth,6500000,ELA,557,48,76,6,481,41,507,43,108,9,1172,92,499,35,748
Dighton-Rehoboth,6500000,MATH,333,29,24,2,309,27,630,54,202,17,1165,92,490,23,738
Dighton-Rehoboth,6500000,SCI,142,39,13,4,129,36,172,47,49,13,363,90,494,,
Douglas,770000,ELA,249,50,47,9,202,41,205,41,43,9,497,90,500,29,291
Douglas,770000,MATH,136,27,3,1,133,26,273,54,100,20,509,92,487,29,303
