District,DistrictC,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Douglas,770000,SCI,82,47,12,7,70,40,65,38,26,15,173,92,497,,
Dover,780000,ELA,189,75,50,20,139,55,56,22,6,2,251,99,513,48,77
Dover,780000,MATH,197,78,55,22,142,56,49,19,6,2,252,99,514,52,77
Dover,780000,SCI,62,70,16,18,46,52,23,26,3,3,88,98,512,,
Dover-Sherborn,6550000,ELA,358,76,85,18,273,58,98,21,16,3,472,92,512,42,432
Dover-Sherborn,6550000,MATH,346,74,93,20,253,54,107,23,15,3,468,91,513,40,427
Dover-Sherborn,6550000,SCI,102,73,34,24,68,49,30,21,8,6,140,95,513,,
Dracut,790000,ELA,803,44,116,6,687,38,747,41,262,14,1812,100,496,32,1135
Dracut,790000,MATH,505,28,44,2,461,25,950,52,358,20,1813,99,488,29,1134
Dracut,790000,SCI,202,35,18,3,184,32,274,47,106,18,582,99,491,,
Dudley Street Neighborhood Charter School (District),4070000,ELA,31,30,2,2,29,28,55,52,19,18,105,97,488,34,30
Dudley Street Neighborhood Charter School (District),4070000,MATH,10,9,0,0,10,9,51,48,45,42,106,98,473,18,30
Dudley Street Neighborhood Charter School (District),4070000,SCI,9,31,0,0,9,31,8,28,12,41,29,97,480,,
Dudley-Charlton Reg,6580000,ELA,838,51,106,6,732,44,636,38,178,11,1652,99,499,37,1089
Dudley-Charlton Reg,6580000,MATH,504,31,22,1,482,29,919,56,227,14,1650,99,490,24,1087
Dudley-Charlton Reg,6580000,SCI,221,43,22,4,199,39,250,49,42,8,513,98,497,,
Duxbury,820000,ELA,822,65,125,10,697,56,374,30,59,5,1255,97,507,37,807
Duxbury,820000,MATH,661,53,70,6,591,47,542,43,54,4,1257,97,502,32,810
Duxbury,820000,SCI,258,57,27,6,231,51,177,39,15,3,450,97,503,,
East Bridgewater,830000,ELA,465,48,68,7,397,41,404,42,90,9,959,98,499,37,622
East Bridgewater,830000,MATH,315,33,31,3,284,30,506,53,136,14,957,98,492,28,621
East Bridgewater,830000,SCI,132,42,24,8,108,34,148,47,34,11,314,96,497,,
East Longmeadow,870000,ELA,563,52,106,10,457,42,422,39,102,9,1087,95,501,43,694
East Longmeadow,870000,MATH,379,35,44,4,335,31,531,49,167,16,1077,94,492,33,685
East Longmeadow,870000,SCI,170,52,17,5,153,47,123,38,33,10,326,93,501,,
Eastham,850000,ELA,54,64,9,11,45,53,28,33,3,4,85,90,506,57,22
Eastham,850000,MATH,34,40,3,4,31,36,41,48,10,12,85,90,495,31,22
Eastham,850000,SCI,20,77,5,19,15,58,3,12,3,12,26,84,513,,
Easthampton,860000,ELA,276,45,41,7,235,38,268,43,73,12,617,93,496,39,395
Easthampton,860000,MATH,149,24,9,1,140,23,332,54,135,22,616,93,486,31,393
Easthampton,860000,SCI,79,39,10,5,69,34,95,47,29,14,203,96,495,,
Easton,880000,ELA,922,58,160,10,762,48,551,35,119,7,1592,96,504,38,1061
Easton,880000,MATH,765,48,89,6,676,43,679,43,145,9,1589,96,499,35,1058
Easton,880000,SCI,296,55,56,10,240,45,210,39,30,6,536,95,503,,
Edgartown,890000,ELA,103,42,8,3,95,39,99,40,44,18,246,99,494,35,130
Edgartown,890000,MATH,58,24,4,2,54,22,134,54,54,22,246,99,485,29,130
Edgartown,890000,SCI,27,38,7,10,20,28,31,44,13,18,71,100,494,,
Erving,910000,ELA,8,27,0,0,8,27,19,63,3,10,30,56,488,,18
Erving,910000,MATH,4,14,1,3,3,10,16,55,9,31,29,54,483,,16
Erving,910000,SCI,2,14,1,7,1,7,9,64,3,21,14,67,483,,
Everett,930000,ELA,658,24,50,2,608,22,1243,44,896,32,2797,89,482,26,1461
Everett,930000,MATH,376,14,27,1,349,13,1318,48,1054,38,2748,88,477,24,1424
Everett,930000,SCI,112,16,7,1,105,15,328,46,276,39,716,82,478,,
Excel Academy Charter (District),4100000,ELA,248,36,24,3,224,33,310,45,130,19,688,96,491,32,630
Excel Academy Charter (District),4100000,MATH,125,18,9,1,116,17,362,53,195,29,682,96,483,23,625
Excel Academy Charter (District),4100000,SCI,70,26,11,4,59,22,134,51,61,23,265,95,487,,
Fairhaven,940000,ELA,359,51,63,9,296,42,274,39,75,11,708,83,500,33,448
Fairhaven,940000,MATH,301,42,34,5,267,37,325,45,89,12,715,84,495,33,450
Fairhaven,940000,SCI,109,48,18,8,91,40,102,45,17,7,228,85,500,,
Fall River,950000,ELA,1307,27,139,3,1168,24,2036,42,1450,30,4793,95,485,30,2643
Fall River,950000,MATH,804,17,57,1,747,16,2164,45,1807,38,4775,94,478,26,2627
Fall River,950000,SCI,288,21,32,2,256,19,628,46,452,33,1368,90,481,,
Falmouth,960000,ELA,797,55,173,12,624,43,491,34,161,11,1449,98,502,43,909
Falmouth,960000,MATH,604,41,85,6,519,36,632,43,220,15,1456,98,495,40,910
Falmouth,960000,SCI,227,51,45,10,182,41,160,36,59,13,446,97,500,,
Farmington River Reg,6620000,ELA,23,51,3,7,20,44,18,40,4,9,45,96,501,,16
Farmington River Reg,6620000,MATH,12,27,2,4,10,22,26,58,7,16,45,96,491,,16
Fitchburg,970000,ELA,676,29,93,4,583,25,1013,43,679,29,2368,96,486,30,1372
Fitchburg,970000,MATH,334,14,24,1,310,13,1081,45,968,41,2383,97,477,25,1378
Fitchburg,970000,SCI,114,18,10,2,104,16,295,46,238,37,647,95,480,,
Florida,980000,ELA,15,27,0,0,15,27,29,52,12,21,56,97,486,30,40
Florida,980000,MATH,5,9,0,0,5,9,31,55,20,36,56,97,476,24,40
Florida,980000,SCI,6,29,0,0,6,29,7,33,8,38,21,95,483,,
Four Rivers Charter Public (District),4130000,ELA,23,45,1,2,22,43,24,47,4,8,51,68,496,34,40
Four Rivers Charter Public (District),4130000,MATH,10,20,0,0,10,20,30,61,9,18,49,65,485,23,38
Four Rivers Charter Public (District),4130000,SCI,13,50,3,12,10,38,12,46,1,4,26,76,499,,
Foxborough,990000,ELA,606,55,104,9,502,45,386,35,115,10,1107,98,501,41,711
Foxborough,990000,MATH,499,45,59,5,440,40,497,45,111,10,1107,98,497,30,711
Foxborough,990000,SCI,197,54,34,9,163,44,142,39,29,8,368,97,501,,
Foxborough Regional Charter (District),4460000,ELA,379,43,47,5,332,38,382,44,113,13,874,99,495,34,560
Foxborough Regional Charter (District),4460000,MATH,220,25,22,3,198,23,464,53,190,22,874,99,485,31,562
Foxborough Regional Charter (District),4460000,SCI,88,37,9,4,79,33,122,51,31,13,241,97,492,,
Framingham,1000000,ELA,1324,34,229,6,1095,28,1510,39,1022,27,3856,96,489,39,2125
Framingham,1000000,MATH,892,23,84,2,808,21,1638,42,1329,34,3859,96,482,34,2124
Framingham,1000000,SCI,360,32,58,5,302,27,453,40,309,28,1122,93,488,,
Francis W. Parker Charter Essential (District),4780000,ELA,80,58,9,7,71,51,47,34,11,8,138,97,503,36,90
Francis W. Parker Charter Essential (District),4780000,MATH,51,37,4,3,47,34,77,56,10,7,138,97,495,28,89
Francis W. Parker Charter Essential (District),4780000,SCI,39,58,7,10,32,48,24,36,4,6,67,94,503,,
Franklin,1010000,ELA,1276,60,216,10,1060,50,689,32,160,8,2125,98,504,35,1353
Franklin,1010000,MATH,1012,48,154,7,858,40,893,42,217,10,2122,98,499,30,1345
Franklin,1010000,SCI,407,58,78,11,329,47,248,35,44,6,699,97,505,,
Freetown-Lakeville,6650000,ELA,617,50,97,8,520,42,490,40,133,11,1240,94,499,36,774
Freetown-Lakeville,6650000,MATH,552,44,61,5,491,40,556,45,135,11,1243,94,497,34,777
Freetown-Lakeville,6650000,SCI,229,54,43,10,186,43,168,39,31,7,428,93,503,,
Frontier,6700000,ELA,117,50,21,9,96,41,89,38,27,12,233,96,500,37,218
Frontier,6700000,MATH,93,40,15,7,78,34,112,49,25,11,230,95,497,39,216
Frontier,6700000,SCI,51,57,9,10,42,47,30,34,8,9,89,93,502,,
Gardner,1030000,ELA,276,28,19,2,257,26,457,46,256,26,989,94,485,35,633
Gardner,1030000,MATH,148,15,6,1,142,14,489,49,356,36,993,94,477,26,635
Gardner,1030000,SCI,58,20,2,1,56,20,139,49,88,31,285,92,482,,
Gateway,6720000,ELA,145,39,15,4,130,35,176,47,54,14,375,99,494,34,244
Gateway,6720000,MATH,83,22,11,3,72,19,212,57,80,21,375,99,486,30,243
Gateway,6720000,SCI,52,46,7,6,45,39,53,46,9,8,114,97,499,,
Georgetown,1050000,ELA,303,53,47,8,256,45,223,39,47,8,573,99,500,31,370
Georgetown,1050000,MATH,195,34,19,3,176,31,293,51,82,14,570,98,491,27,368
Georgetown,1050000,SCI,75,41,10,6,65,36,85,47,21,12,181,97,496,,
Gill-Montague,6740000,ELA,112,30,11,3,101,27,182,48,85,22,379,85,488,31,227
Gill-Montague,6740000,MATH,54,15,3,1,51,14,178,49,133,36,365,82,478,33,210
Gill-Montague,6740000,SCI,33,30,3,3,30,27,54,49,23,21,110,81,489,,
Global Learning Charter Public (District),4960000,ELA,111,34,12,4,99,30,177,54,39,12,327,91,492,30,303
Global Learning Charter Public (District),4960000,MATH,35,11,0,0,35,11,209,64,84,26,328,92,480,16,305
Global Learning Charter Public (District),4960000,SCI,24,17,1,1,23,16,85,61,31,22,140,85,482,,
Gloucester,1070000,ELA,540,44,83,7,457,37,515,41,186,15,1241,99,496,34,769
Gloucester,1070000,MATH,389,31,41,3,348,28,570,46,285,23,1244,99,489,29,771
Gloucester,1070000,SCI,149,38,15,4,134,34,176,44,72,18,397,99,492,,
Grafton,1100000,ELA,837,58,130,9,707,49,486,34,125,9,1448,95,503,40,948
Grafton,1100000,MATH,684,47,103,7,581,40,589,41,173,12,1446,95,498,36,947
Grafton,1100000,SCI,292,63,60,13,232,50,131,28,43,9,466,93,505,,
Granby,1110000,ELA,94,32,8,3,86,29,160,54,44,15,298,99,491,28,190
Granby,1110000,MATH,47,16,1,0,46,15,178,60,73,24,298,99,482,21,189
Granby,1110000,SCI,33,32,4,4,29,28,56,54,14,14,103,98,493,,
Greater Commonwealth Virtual District,39010000,ELA,159,37,16,4,143,33,204,47,68,16,431,89,493,33,216
Greater Commonwealth Virtual District,39010000,MATH,88,20,8,2,80,18,243,55,108,25,439,91,484,35,221
Greater Commonwealth Virtual District,39010000,SCI,18,32,2,4,16,28,29,51,10,18,57,74,488,,
Greenfield,1140000,ELA,169,31,11,2,158,29,247,46,123,23,539,72,488,32,291
Greenfield,1140000,MATH,62,12,6,1,56,10,251,47,224,42,537,71,475,23,291
Greenfield,1140000,SCI,41,29,6,4,35,25,66,47,34,24,141,65,488,,
Groton-Dunstable,6730000,ELA,682,66,171,17,511,50,270,26,75,7,1027,97,509,45,651
Groton-Dunstable,6730000,MATH,572,57,93,9,479,48,359,36,70,7,1001,95,504,35,625
Groton-Dunstable,6730000,SCI,216,67,54,17,162,50,85,26,21,7,322,94,510,,
Hadley,1170000,ELA,128,59,16,7,112,51,74,34,16,7,218,99,502,47,148
Hadley,1170000,MATH,85,39,8,4,77,35,92,42,40,18,217,98,492,36,149
Hadley,1170000,SCI,52,63,9,11,43,52,22,27,8,10,82,96,505,,
Halifax,1180000,ELA,209,60,47,14,162,47,119,34,18,5,346,96,505,45,152
Halifax,1180000,MATH,155,45,17,5,138,40,157,45,35,10,347,96,496,32,153
Halifax,1180000,SCI,39,49,8,10,31,39,33,42,7,9,79,96,502,,
Hamilton-Wenham,6750000,ELA,548,74,139,19,409,55,169,23,25,3,742,97,512,51,460
Hamilton-Wenham,6750000,MATH,391,53,43,6,348,47,300,40,50,7,741,97,501,39,459
Hamilton-Wenham,6750000,SCI,154,63,29,12,125,51,86,35,3,1,243,99,507,,
Hampden Charter School of Science East (District),4990000,ELA,105,43,17,7,88,36,97,39,44,18,246,96,494,32,221
Hampden Charter School of Science East (District),4990000,MATH,76,31,8,3,68,28,119,49,49,20,244,95,488,25,220
Hampden Charter School of Science East (District),4990000,SCI,5,23,0,0,5,23,10,45,7,32,22,81,481,,
Hampden Charter School of Science West (District),35160000,ELA,86,44,18,9,68,35,73,37,36,18,195,100,496,31,163
Hampden Charter School of Science West (District),35160000,MATH,59,30,13,7,46,24,99,51,37,19,195,100,490,25,163
Hampden Charter School of Science West (District),35160000,SCI,6,23,0,0,6,23,16,62,4,15,26,100,488,,
Hampden-Wilbraham,6800000,ELA,655,54,104,9,551,46,446,37,107,9,1208,97,501,39,771
Hampden-Wilbraham,6800000,MATH,463,38,28,2,435,36,597,50,145,12,1205,97,494,33,766
Hampden-Wilbraham,6800000,SCI,189,49,18,5,171,44,162,42,38,10,389,98,499,,
Hampshire,6830000,ELA,99,45,7,3,92,42,92,42,29,13,220,87,495,31,202
Hampshire,6830000,MATH,65,30,3,1,62,28,116,53,38,17,219,87,489,29,203
Hampshire,6830000,SCI,43,46,4,4,39,41,44,47,7,7,94,80,498,,
Hancock,1210000,ELA,10,37,0,0,10,37,12,44,5,19,27,100,492,,9
Hancock,1210000,MATH,8,30,1,4,7,26,9,33,10,37,27,100,483,,9
Hanover,1220000,ELA,707,59,125,10,582,49,403,34,87,7,1197,99,504,43,769
Hanover,1220000,MATH,619,52,89,7,530,44,478,40,100,8,1197,99,500,41,770
Hanover,1220000,SCI,239,58,52,13,187,46,147,36,23,6,409,100,505,,
Harvard,1250000,ELA,350,77,86,19,264,58,76,17,30,7,456,95,512,47,291
Harvard,1250000,MATH,291,63,50,11,241,52,131,28,38,8,460,96,505,40,297
Harvard,1250000,SCI,124,82,35,23,89,59,20,13,7,5,151,97,515,,
Hatfield,1270000,ELA,89,48,12,6,77,41,78,42,19,10,186,95,499,29,116
Hatfield,1270000,MATH,49,26,2,1,47,25,96,52,40,22,185,95,486,26,115
Hatfield,1270000,SCI,24,39,4,7,20,33,28,46,9,15,61,95,495,,
Haverhill,1280000,ELA,1181,32,129,3,1052,28,1634,44,917,25,3732,93,488,32,2208
Haverhill,1280000,MATH,685,18,53,1,632,17,1755,47,1326,35,3766,94,480,27,2241
Haverhill,1280000,SCI,285,26,31,3,254,23,498,46,298,28,1081,90,485,,
Hawlemont,6850000,ELA,19,28,0,0,19,28,32,47,17,25,68,99,486,26,31
Hawlemont,6850000,MATH,5,7,0,0,5,7,30,44,33,49,68,99,473,10,31
Hawlemont,6850000,SCI,3,20,0,0,3,20,7,47,5,33,15,94,483,,
Helen Y. Davis Leadership Academy Charter Public (District),4190000,ELA,39,23,3,2,36,21,83,49,46,27,168,90,485,32,140
Helen Y. Davis Leadership Academy Charter Public (District),4190000,MATH,26,15,1,1,25,14,93,53,56,32,175,94,479,27,146
Helen Y. Davis Leadership Academy Charter Public (District),4190000,SCI,5,17,1,3,4,14,14,48,10,34,29,94,480,,
Hill View Montessori Charter Public (District),4550000,ELA,72,37,5,3,67,34,98,50,27,14,197,97,492,34,124
Hill View Montessori Charter Public (District),4550000,MATH,15,8,1,1,14,7,95,49,84,43,194,96,473,22,124
Hill View Montessori Charter Public (District),4550000,SCI,14,23,1,2,13,21,33,53,15,24,62,94,484,,
Hilltown Cooperative Charter Public (District),4500000,ELA,94,65,21,14,73,50,41,28,10,7,145,92,507,46,93
Hilltown Cooperative Charter Public (District),4500000,MATH,63,45,10,7,53,38,65,46,12,9,140,89,498,36,94
Hilltown Cooperative Charter Public (District),4500000,SCI,29,63,3,7,26,57,14,30,3,7,46,85,506,,
Hingham,1310000,ELA,1404,77,472,26,932,51,376,21,46,3,1826,99,516,50,1145
Hingham,1310000,MATH,1118,61,193,11,925,51,619,34,81,4,1818,98,506,35,1139
Hingham,1310000,SCI,422,70,124,21,298,50,150,25,27,5,599,99,511,,
Holbrook,1330000,ELA,259,43,26,4,233,39,264,44,80,13,603,98,495,32,346
Holbrook,1330000,MATH,152,25,4,1,148,24,311,51,142,23,605,98,485,22,348
Holbrook,1330000,SCI,86,44,13,7,73,37,89,45,22,11,197,97,498,,
Holland,1350000,ELA,63,51,9,7,54,44,46,37,15,12,124,100,498,50,54
Holland,1350000,MATH,44,35,2,2,42,34,55,44,25,20,124,100,489,53,54
Holland,1350000,SCI,11,39,2,7,9,32,15,54,2,7,28,100,497,,
Holliston,1360000,ELA,817,61,139,10,678,51,418,31,99,7,1334,98,505,45,858
Holliston,1360000,MATH,678,51,101,8,577,43,523,39,133,10,1334,98,500,48,856
Holliston,1360000,SCI,237,57,40,10,197,47,158,38,24,6,419,98,505,,
Holyoke,1370000,ELA,248,12,13,1,235,11,950,45,925,44,2123,95,475,28,1220
Holyoke,1370000,MATH,88,4,1,0,87,4,759,36,1266,60,2113,95,466,28,1213
Holyoke,1370000,SCI,34,7,0,0,34,7,208,40,279,54,521,92,471,,
Holyoke Community Charter (District),4530000,ELA,114,24,8,2,106,22,255,54,103,22,472,100,486,30,296
Holyoke Community Charter (District),4530000,MATH,44,9,1,0,43,9,252,53,176,37,472,100,476,27,296
Holyoke Community Charter (District),4530000,SCI,27,24,4,4,23,20,53,46,34,30,114,100,485,,
Hoosac Valley Regional,6030000,ELA,150,29,8,2,142,27,240,46,132,25,522,99,486,28,343
Hoosac Valley Regional,6030000,MATH,63,12,7,1,56,11,273,52,187,36,523,99,477,24,345
Hoosac Valley Regional,6030000,SCI,29,19,2,1,27,18,84,56,36,24,149,100,484,,
Hopedale,1380000,ELA,263,56,30,6,233,49,163,35,45,10,471,94,501,34,298
Hopedale,1380000,MATH,209,44,26,5,183,39,217,46,47,10,473,94,497,32,299
Hopedale,1380000,SCI,78,53,15,10,63,43,53,36,17,11,148,90,501,,
Hopkinton,1390000,ELA,1357,76,363,20,994,56,348,19,81,5,1786,98,513,44,1120
Hopkinton,1390000,MATH,1223,68,368,21,855,48,459,26,106,6,1788,98,511,48,1118
Hopkinton,1390000,SCI,408,75,107,20,301,56,110,20,23,4,541,98,512,,
Hudson,1410000,ELA,488,42,54,5,434,37,493,42,192,16,1173,98,493,30,699
Hudson,1410000,MATH,295,25,18,2,277,24,606,52,269,23,1170,98,486,24,696
Hudson,1410000,SCI,129,35,15,4,114,31,171,47,64,18,364,97,491,,
Hull,1420000,ELA,167,50,23,7,144,44,123,37,41,12,331,93,498,33,210
Hull,1420000,MATH,130,39,18,5,112,34,152,46,49,15,331,93,494,31,210
Hull,1420000,SCI,41,40,6,6,35,34,47,46,14,14,102,93,496,,
Innovation Academy Charter (District),4350000,ELA,196,51,32,8,164,42,154,40,36,9,386,96,500,35,345
Innovation Academy Charter (District),4350000,MATH,149,39,13,3,136,35,185,48,53,14,387,96,494,29,347
Innovation Academy Charter (District),4350000,SCI,67,40,10,6,57,34,73,44,26,16,166,94,494,,
Ipswich,1440000,ELA,413,55,67,9,346,46,269,36,64,9,746,99,502,32,468
Ipswich,1440000,MATH,271,36,28,4,243,33,385,52,89,12,745,99,494,28,467
Ipswich,1440000,SCI,132,53,32,13,100,40,101,40,18,7,251,98,503,,
KIPP Academy Boston Charter School (District),4630000,ELA,80,23,2,1,78,22,185,52,89,25,354,87,484,26,215
KIPP Academy Boston Charter School (District),4630000,MATH,36,10,2,1,34,10,172,49,144,41,352,86,475,20,214
KIPP Academy Boston Charter School (District),4630000,SCI,8,10,0,0,8,10,38,45,38,45,84,74,473,,
KIPP Academy Lynn Charter (District),4290000,ELA,162,38,15,4,147,35,195,46,67,16,424,57,492,25,216
KIPP Academy Lynn Charter (District),4290000,MATH,101,24,6,1,95,23,216,51,104,25,421,56,484,19,213
KIPP Academy Lynn Charter (District),4290000,SCI,26,29,4,4,22,24,47,52,17,19,90,38,490,,
King Philip,6900000,ELA,416,56,71,10,345,47,262,35,61,8,739,99,503,39,703
King Philip,6900000,MATH,277,38,26,4,251,34,395,54,63,9,735,98,495,27,699
King Philip,6900000,SCI,151,49,20,6,131,43,133,43,24,8,308,99,500,,
Kingston,1450000,ELA,330,55,52,9,278,46,225,37,47,8,602,99,501,37,296
Kingston,1450000,MATH,208,34,12,2,196,32,311,51,86,14,605,99,492,29,298
Kingston,1450000,SCI,86,53,11,7,75,46,50,31,26,16,162,99,499,,
Lawrence,1490000,ELA,1131,18,102,2,1029,16,2717,43,2506,39,6354,98,478,28,3567
Lawrence,1490000,MATH,624,10,31,0,593,9,2745,43,2995,47,6364,98,472,24,3581
Lawrence,1490000,SCI,250,15,16,1,234,14,715,44,666,41,1631,97,477,,
Lawrence Family Development Charter (District),4540000,ELA,209,45,26,6,183,39,223,48,35,7,467,99,498,36,303
Lawrence Family Development Charter (District),4540000,MATH,88,19,7,1,81,17,286,61,93,20,467,99,485,26,303
Lawrence Family Development Charter (District),4540000,SCI,64,42,6,4,58,38,76,50,12,8,152,98,497,,
Learning First Charter Public School (District),4860000,ELA,107,25,8,2,99,23,212,49,112,26,431,97,485,37,277
Learning First Charter Public School (District),4860000,MATH,48,11,1,0,47,11,191,45,188,44,427,96,475,36,276
Learning First Charter Public School (District),4860000,SCI,20,15,0,0,20,15,72,55,38,29,130,96,482,,
Lee,1500000,ELA,124,43,18,6,106,37,130,45,36,12,290,99,496,36,172
Lee,1500000,MATH,77,27,4,1,73,25,150,52,63,22,290,99,487,31,171
Lee,1500000,SCI,33,35,6,6,27,29,47,50,14,15,94,100,493,,
Leicester,1510000,ELA,239,38,15,2,224,36,276,44,113,18,628,97,492,39,393
Leicester,1510000,MATH,152,24,14,2,138,22,333,53,141,23,626,97,486,37,392
Leicester,1510000,SCI,81,43,8,4,73,39,85,45,23,12,189,97,497,,
Lenox,1520000,ELA,203,63,38,12,165,51,103,32,17,5,323,98,505,36,204
Lenox,1520000,MATH,138,43,17,5,121,38,147,46,34,11,319,97,496,25,200
Lenox,1520000,SCI,46,48,5,5,41,43,45,47,4,4,95,96,499,,
Leominster,1530000,ELA,948,35,97,4,851,32,1162,44,561,21,2671,97,491,31,1617
Leominster,1530000,MATH,584,22,44,2,540,20,1325,50,766,29,2675,98,483,21,1613
Leominster,1530000,SCI,245,33,30,4,215,29,345,46,154,21,744,97,490,,
Leverett,1540000,ELA,34,56,7,11,27,44,24,39,3,5,61,88,503,32,27
Leverett,1540000,MATH,23,37,2,3,21,33,32,51,8,13,63,91,493,39,28
Leverett,1540000,SCI,7,54,1,8,6,46,6,46,0,0,13,100,504,,
Lexington,1550000,ELA,2480,75,730,22,1750,53,666,20,141,4,3287,97,514,48,1985
Lexington,1550000,MATH,2363,72,822,25,1541,47,734,22,195,6,3292,97,513,44,1994
Lexington,1550000,SCI,754,73,225,22,529,51,237,23,47,5,1038,95,513,,
Libertas Academy Charter School (District),35140000,ELA,54,21,3,1,51,20,102,40,96,38,252,99,480,36,200
Libertas Academy Charter School (District),35140000,MATH,38,15,2,1,36,14,124,50,88,35,250,98,478,32,201
Libertas Academy Charter School (District),35140000,SCI,3,7,0,0,3,7,27,64,12,29,42,100,478,,
Lincoln,1570000,ELA,379,61,77,12,302,49,197,32,41,7,617,98,505,52,281
Lincoln,1570000,MATH,296,49,57,9,239,39,242,40,71,12,609,98,499,41,277
Lincoln,1570000,SCI,85,52,16,10,69,43,60,37,17,10,162,94,502,,
Littleton,1580000,ELA,436,60,77,11,359,50,236,33,51,7,723,94,504,38,446
Littleton,1580000,MATH,328,45,63,9,265,37,312,43,85,12,725,94,497,39,449
Littleton,1580000,SCI,118,56,21,10,97,46,80,38,12,6,210,86,504,,
Longmeadow,1590000,ELA,793,64,150,12,643,52,360,29,86,7,1239,98,507,38,776
Longmeadow,1590000,MATH,573,46,85,7,488,40,552,45,110,9,1235,97,498,28,774
Longmeadow,1590000,SCI,217,55,46,12,171,44,144,37,30,8,391,98,503,,
Lowell,1600000,ELA,1633,27,212,3,1421,23,2647,43,1876,30,6156,89,485,26,3707
Lowell,1600000,MATH,1134,18,100,2,1034,17,2854,47,2148,35,6136,88,480,25,3693
Lowell,1600000,SCI,259,16,25,2,234,15,736,46,608,38,1603,86,479,,
Lowell Community Charter Public (District),4560000,ELA,236,49,50,10,186,39,197,41,45,9,478,100,499,39,306
Lowell Community Charter Public (District),4560000,MATH,153,32,8,2,145,30,229,48,96,20,478,100,489,25,306
Lowell Community Charter Public (District),4560000,SCI,52,39,8,6,44,33,61,46,20,15,133,100,492,,
Ludlow,1610000,ELA,336,33,24,2,312,31,517,51,157,16,1010,95,491,30,672
Ludlow,1610000,MATH,251,25,21,2,230,23,564,56,194,19,1009,95,487,29,672
Ludlow,1610000,SCI,95,30,8,3,87,28,166,53,55,17,316,92,490,,
