District,DistrictC,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Reading,2460000,SCI,350,60,84,14,266,46,188,32,44,8,582,96,505,,
Revere,2480000,ELA,1177,35,135,4,1042,31,1504,44,716,21,3397,99,490,30,2034
Revere,2480000,MATH,583,17,23,1,560,16,1720,51,1091,32,3394,99,480,18,2031
Revere,2480000,SCI,256,27,21,2,235,25,426,46,252,27,934,98,486,,
Richmond,2490000,ELA,54,61,7,8,47,53,29,33,5,6,88,91,502,43,56
Richmond,2490000,MATH,31,35,2,2,29,33,46,52,11,13,88,91,493,38,56
Richmond,2490000,SCI,19,61,3,10,16,52,10,32,2,6,31,91,504,,
Rising Tide Charter Public (District),4830000,ELA,203,59,32,9,171,49,112,32,32,9,347,97,503,41,300
Rising Tide Charter Public (District),4830000,MATH,127,36,10,3,117,34,189,54,32,9,348,98,494,29,300
Rising Tide Charter Public (District),4830000,SCI,96,57,16,9,80,47,61,36,12,7,169,98,503,,
River Valley Charter (District),4820000,ELA,120,63,18,10,102,54,57,30,12,6,189,99,505,49,112
River Valley Charter (District),4820000,MATH,75,40,5,3,70,37,92,49,22,12,189,99,495,53,112
River Valley Charter (District),4820000,SCI,31,54,5,9,26,46,23,40,3,5,57,98,501,,
Rochester,2500000,ELA,164,56,25,9,139,47,106,36,23,8,293,100,501,40,143
Rochester,2500000,MATH,129,44,14,5,115,39,143,49,21,7,293,100,498,50,143
Rochester,2500000,SCI,51,60,13,15,38,45,31,36,3,4,85,100,507,,
Rockland,2510000,ELA,489,45,75,7,414,38,424,39,182,17,1095,99,496,37,677
Rockland,2510000,MATH,324,30,20,2,304,28,542,50,225,21,1091,99,488,27,671
Rockland,2510000,SCI,129,37,21,6,108,31,151,43,68,20,348,97,492,,
Rockport,2520000,ELA,179,48,16,4,163,44,160,43,31,8,370,97,499,37,238
Rockport,2520000,MATH,106,29,12,3,94,25,189,51,74,20,369,97,489,31,237
Rockport,2520000,SCI,51,40,12,9,39,30,63,49,15,12,129,98,498,,
Rowe,2530000,ELA,18,51,0,0,18,51,11,31,6,17,35,88,492,,13
Rowe,2530000,MATH,6,17,0,0,6,17,18,51,11,31,35,88,480,,13
Roxbury Preparatory Charter (District),4840000,ELA,226,25,24,3,202,22,421,46,275,30,922,98,484,31,770
Roxbury Preparatory Charter (District),4840000,MATH,86,9,4,0,82,9,539,58,302,33,927,98,478,22,776
Roxbury Preparatory Charter (District),4840000,SCI,48,18,3,1,45,16,136,50,90,33,274,98,480,,
Salem,2580000,ELA,547,34,60,4,487,31,697,44,350,22,1594,88,490,32,876
Salem,2580000,MATH,262,16,20,1,242,15,774,49,556,35,1592,88,479,25,868
Salem,2580000,SCI,141,30,14,3,127,27,218,46,117,25,476,85,487,,
Salem Academy Charter (District),4850000,ELA,104,48,14,7,90,42,80,37,31,14,215,100,497,39,206
Salem Academy Charter (District),4850000,MATH,68,32,8,4,60,28,116,54,31,14,215,100,492,38,206
Salem Academy Charter (District),4850000,SCI,33,62,7,13,26,49,15,28,5,9,53,100,504,,
Sandwich,2610000,ELA,571,50,98,9,473,41,452,40,121,11,1144,98,500,40,719
Sandwich,2610000,MATH,432,38,36,3,396,35,575,50,135,12,1142,98,494,35,723
Sandwich,2610000,SCI,198,50,38,10,160,41,152,39,44,11,394,97,500,,
Saugus,2620000,ELA,527,43,68,6,459,38,528,43,166,14,1221,99,495,32,726
Saugus,2620000,MATH,314,26,27,2,287,24,650,53,252,21,1216,99,487,24,723
Saugus,2620000,SCI,140,38,16,4,124,34,172,47,56,15,368,98,493,,
Savoy,2630000,ELA,9,31,1,3,8,28,17,59,3,10,29,100,492,,13
Savoy,2630000,MATH,8,28,0,0,8,28,17,59,4,14,29,100,487,,13
Scituate,2640000,ELA,789,64,160,13,629,51,372,30,66,5,1227,98,507,36,790
Scituate,2640000,MATH,712,58,92,7,620,51,426,35,89,7,1227,98,503,38,789
Scituate,2640000,SCI,269,64,49,12,220,52,127,30,24,6,420,98,506,,
Seekonk,2650000,ELA,586,61,102,11,484,50,299,31,75,8,960,99,504,44,572
Seekonk,2650000,MATH,441,46,42,4,399,42,415,43,102,11,958,99,497,34,571
Seekonk,2650000,SCI,190,58,28,9,162,49,106,32,33,10,329,99,502,,
Sharon,2660000,ELA,1119,70,257,16,862,54,417,26,67,4,1603,97,510,39,1022
Sharon,2660000,MATH,1009,63,267,17,742,46,478,30,112,7,1599,97,508,37,1020
Sharon,2660000,SCI,282,60,78,17,204,44,153,33,32,7,467,96,506,,
Sherborn,2690000,ELA,133,69,26,14,107,56,52,27,7,4,192,98,509,42,59
Sherborn,2690000,MATH,123,64,15,8,108,56,62,32,7,4,192,98,505,53,59
Sherborn,2690000,SCI,38,59,5,8,33,52,24,38,2,3,64,98,505,,
Shrewsbury,2710000,ELA,1861,65,415,15,1446,51,786,28,196,7,2843,99,508,35,1763
Shrewsbury,2710000,MATH,1692,60,385,14,1307,46,923,32,228,8,2843,99,505,35,1762
Shrewsbury,2710000,SCI,495,60,121,15,374,45,278,34,54,7,827,99,506,,
Shutesbury,2720000,ELA,38,62,6,10,32,52,14,23,9,15,61,95,502,40,33
Shutesbury,2720000,MATH,21,34,3,5,18,30,24,39,16,26,61,95,488,39,33
Shutesbury,2720000,SCI,8,62,1,8,7,54,4,31,1,8,13,100,506,,
Silver Lake,7600000,ELA,222,44,15,3,207,41,210,41,75,15,507,98,494,33,486
Silver Lake,7600000,MATH,203,40,16,3,187,37,250,49,54,11,507,98,494,31,485
Silver Lake,7600000,SCI,99,44,11,5,88,39,104,46,24,11,227,98,496,,
Sizer School: A North Central Charter Essential (District),4740000,ELA,45,33,8,6,37,27,62,46,28,21,135,94,491,34,106
Sizer School: A North Central Charter Essential (District),4740000,MATH,14,10,0,0,14,10,75,55,47,35,136,94,477,21,108
Sizer School: A North Central Charter Essential (District),4740000,SCI,15,36,3,7,12,29,20,48,7,17,42,88,493,,
Somerset,2730000,ELA,558,50,61,5,497,44,448,40,112,10,1118,97,499,36,710
Somerset,2730000,MATH,337,30,18,2,319,29,614,55,167,15,1118,97,490,32,709
Somerset,2730000,SCI,137,43,12,4,125,40,150,47,29,9,316,94,497,,
Somerville,2740000,ELA,781,41,165,9,616,33,722,38,387,20,1890,94,494,34,1116
Somerville,2740000,MATH,446,24,50,3,396,21,792,42,643,34,1881,93,482,22,1113
Somerville,2740000,SCI,202,34,36,6,166,28,244,41,148,25,594,90,490,,
South Hadley,2780000,ELA,319,42,35,5,284,38,293,39,141,19,753,91,493,32,432
South Hadley,2780000,MATH,185,25,23,3,162,22,367,49,201,27,753,91,485,23,433
South Hadley,2780000,SCI,95,42,14,6,81,36,95,42,35,16,225,85,495,,
South Shore Charter Public (District),4880000,ELA,231,49,28,6,203,43,195,41,46,10,472,97,498,39,295
South Shore Charter Public (District),4880000,MATH,101,21,11,2,90,19,283,60,86,18,470,97,486,32,295
South Shore Charter Public (District),4880000,SCI,59,45,6,5,53,40,51,39,21,16,131,98,496,,
Southampton,2750000,ELA,126,53,9,4,117,49,87,36,26,11,239,99,499,47,104
Southampton,2750000,MATH,72,30,8,3,64,27,124,52,44,18,240,99,489,52,104
Southampton,2750000,SCI,43,74,4,7,39,67,12,21,3,5,58,100,507,,
Southborough,2760000,ELA,559,73,167,22,392,51,178,23,26,3,763,99,514,38,473
Southborough,2760000,MATH,551,72,154,20,397,52,188,25,25,3,764,99,513,36,475
Southborough,2760000,SCI,188,74,56,22,132,52,55,22,10,4,253,99,514,,
Southbridge,2770000,ELA,145,17,6,1,139,16,378,44,343,40,866,98,477,28,465
Southbridge,2770000,MATH,44,5,1,0,43,5,357,41,464,54,865,98,469,27,467
Southbridge,2770000,SCI,23,10,0,0,23,10,119,51,93,40,235,97,476,,
Southern Berkshire,7650000,ELA,98,39,9,4,89,36,115,46,36,14,249,94,493,35,149
Southern Berkshire,7650000,MATH,45,18,5,2,40,16,138,55,66,27,249,94,483,21,148
Southern Berkshire,7650000,SCI,33,37,4,4,29,33,44,49,12,13,89,95,494,,
Southwick-Tolland-Granville Regional School District,7660000,ELA,278,44,39,6,239,38,280,45,70,11,628,94,497,41,419
Southwick-Tolland-Granville Regional School District,7660000,MATH,201,32,15,2,186,30,338,54,83,13,622,93,491,41,415
Southwick-Tolland-Granville Regional School District,7660000,SCI,65,36,6,3,59,33,98,54,18,10,181,90,495,,
Spencer-E Brookfield,7670000,ELA,240,35,22,3,218,32,319,46,132,19,691,99,490,38,411
Spencer-E Brookfield,7670000,MATH,95,14,4,1,91,13,399,58,199,29,693,99,479,27,410
Spencer-E Brookfield,7670000,SCI,57,29,2,1,55,28,108,54,35,18,200,100,490,,
Springfield,2810000,ELA,2245,24,241,3,2004,21,4154,44,3045,32,9444,92,483,23,5188
Springfield,2810000,MATH,1075,11,79,1,996,10,4409,46,4048,42,9532,92,475,23,5275
Springfield,2810000,SCI,389,18,37,2,352,16,991,45,826,37,2206,90,480,,
Springfield International Charter (District),4410000,ELA,223,30,19,3,204,27,363,49,159,21,745,89,489,29,457
Springfield International Charter (District),4410000,MATH,105,14,6,1,99,13,403,52,262,34,770,92,478,27,464
Springfield International Charter (District),4410000,SCI,41,23,6,3,35,20,89,51,45,26,175,88,485,,
Springfield Preparatory Charter School (District),35100000,ELA,97,46,13,6,84,39,90,42,26,12,213,100,497,30,102
Springfield Preparatory Charter School (District),35100000,MATH,48,22,5,2,43,20,120,56,46,21,214,100,486,11,102
Springfield Preparatory Charter School (District),35100000,SCI,22,41,1,2,21,39,25,46,7,13,54,100,493,,
Stoneham,2840000,ELA,580,55,113,11,467,44,355,34,116,11,1051,99,502,35,653
Stoneham,2840000,MATH,419,40,67,6,352,33,497,47,138,13,1054,99,495,30,655
Stoneham,2840000,SCI,170,52,37,11,133,41,128,39,28,9,326,99,502,,
Stoughton,2850000,ELA,638,41,70,5,568,37,697,45,207,13,1542,98,495,32,967
Stoughton,2850000,MATH,436,28,31,2,405,26,815,53,292,19,1543,98,488,28,968
Stoughton,2850000,SCI,181,37,23,5,158,33,212,44,91,19,484,97,493,,
Sturbridge,2870000,ELA,290,63,51,11,239,52,143,31,26,6,459,98,506,46,211
Sturbridge,2870000,MATH,214,47,22,5,192,42,189,41,54,12,457,98,498,39,211
Sturbridge,2870000,SCI,60,53,9,8,51,45,44,39,10,9,114,98,503,,
Sudbury,2880000,ELA,1251,73,330,19,921,54,397,23,72,4,1720,98,513,47,1107
Sudbury,2880000,MATH,1146,67,252,15,894,52,480,28,96,6,1722,98,508,40,1108
Sudbury,2880000,SCI,396,67,98,17,298,51,176,30,15,3,587,97,510,,
Sunderland,2890000,ELA,48,51,12,13,36,38,32,34,14,15,94,91,499,39,34
Sunderland,2890000,MATH,25,27,5,5,20,22,45,49,22,24,92,89,488,26,34
Sunderland,2890000,SCI,14,48,0,0,14,48,11,38,4,14,29,81,498,,
Sutton,2900000,ELA,290,54,32,6,258,48,201,38,43,8,534,89,500,38,357
Sutton,2900000,MATH,171,32,14,3,157,30,295,56,65,12,531,88,492,31,355
Sutton,2900000,SCI,97,49,19,10,78,39,89,45,12,6,198,87,501,,
Swampscott,2910000,ELA,498,57,84,10,414,48,296,34,76,9,870,92,503,38,563
Swampscott,2910000,MATH,354,41,36,4,318,37,405,47,110,13,869,92,495,30,562
Swampscott,2910000,SCI,159,52,26,9,133,44,118,39,27,9,304,90,501,,
Swansea,2920000,ELA,491,52,68,7,423,45,373,39,84,9,948,94,500,36,590
Swansea,2920000,MATH,344,36,25,3,319,34,472,50,128,14,944,94,492,31,585
Swansea,2920000,SCI,163,52,20,6,143,46,118,38,31,10,312,94,500,,
TEC Connections Academy Commonwealth Virtual School District,39020000,ELA,387,45,48,6,339,40,323,38,143,17,853,86,496,32,505
TEC Connections Academy Commonwealth Virtual School District,39020000,MATH,287,34,39,5,248,29,390,46,174,20,851,86,490,34,504
TEC Connections Academy Commonwealth Virtual School District,39020000,SCI,64,64,17,17,47,47,25,25,11,11,100,62,508,,
Tantasqua,7700000,ELA,279,50,36,6,243,44,224,40,52,9,555,96,500,39,527
Tantasqua,7700000,MATH,261,47,34,6,227,41,243,44,52,9,556,96,500,34,527
Tantasqua,7700000,SCI,144,53,36,13,108,39,114,42,16,6,274,96,503,,
Taunton,2930000,ELA,1257,34,162,4,1095,30,1649,45,791,21,3697,97,490,32,2297
Taunton,2930000,MATH,626,17,35,1,591,16,1916,52,1167,31,3709,97,480,23,2306
Taunton,2930000,SCI,246,25,20,2,226,23,497,50,248,25,991,92,485,,
Tewksbury,2950000,ELA,836,56,149,10,687,46,528,35,136,9,1500,99,502,44,929
Tewksbury,2950000,MATH,578,38,51,3,527,35,713,47,211,14,1502,99,493,31,928
Tewksbury,2950000,SCI,219,49,23,5,196,44,184,41,45,10,448,98,499,,
Tisbury,2960000,ELA,96,55,18,10,78,45,62,36,15,9,173,97,502,38,92
Tisbury,2960000,MATH,81,46,6,3,75,43,81,46,13,7,175,98,498,35,92
Tisbury,2960000,SCI,27,44,5,8,22,36,27,44,7,11,61,98,499,,
Topsfield,2980000,ELA,201,59,31,9,170,50,115,34,22,7,338,99,503,36,161
Topsfield,2980000,MATH,115,34,7,2,108,32,178,53,45,13,338,99,491,22,160
Topsfield,2980000,SCI,59,72,12,15,47,57,21,26,2,2,82,100,510,,
Triton,7730000,ELA,480,47,71,7,409,40,424,42,109,11,1013,98,498,38,640
Triton,7730000,MATH,310,31,26,3,284,28,554,55,151,15,1015,98,491,37,643
Triton,7730000,SCI,154,45,16,5,138,41,146,43,39,12,339,98,496,,
Truro,3000000,ELA,33,67,2,4,31,63,16,33,0,0,49,98,505,,17
Truro,3000000,MATH,23,47,4,8,19,39,20,41,6,12,49,98,494,,18
Truro,3000000,SCI,14,74,2,11,12,63,5,26,0,0,19,100,509,,
Tyngsborough,3010000,ELA,374,49,40,5,334,44,323,42,70,9,767,99,499,34,475
Tyngsborough,3010000,MATH,275,36,29,4,246,32,399,52,92,12,766,98,494,34,477
Tyngsborough,3010000,SCI,103,44,15,6,88,37,109,46,24,10,236,98,496,,
UP Academy Charter School of Boston (District),4800000,ELA,51,16,2,1,49,15,132,40,143,44,326,93,476,29,296
UP Academy Charter School of Boston (District),4800000,MATH,39,12,1,0,38,12,137,43,144,45,320,91,476,29,284
UP Academy Charter School of Boston (District),4800000,SCI,2,3,0,0,2,3,29,50,27,47,58,91,473,,
UP Academy Charter School of Dorchester (District),35050000,ELA,54,13,3,1,51,12,205,49,160,38,419,98,476,22,263
UP Academy Charter School of Dorchester (District),35050000,MATH,18,4,0,0,18,4,175,42,220,53,413,97,468,24,256
UP Academy Charter School of Dorchester (District),35050000,SCI,6,5,0,0,6,5,52,46,54,48,112,97,472,,
Up-Island Regional,7740000,ELA,137,52,18,7,119,45,103,39,25,9,265,99,500,31,161
Up-Island Regional,7740000,MATH,105,40,11,4,94,35,121,46,39,15,265,99,494,39,162
Up-Island Regional,7740000,SCI,50,60,9,11,41,49,25,30,9,11,84,98,501,,
Uxbridge,3040000,ELA,361,49,41,6,320,44,294,40,78,11,733,97,497,41,466
Uxbridge,3040000,MATH,247,34,19,3,228,31,366,50,118,16,731,96,490,31,466
Uxbridge,3040000,SCI,106,42,17,7,89,35,120,48,26,10,252,98,497,,
Veritas Preparatory Charter School (District),4980000,ELA,122,31,18,5,104,26,170,43,107,27,399,99,488,27,355
Veritas Preparatory Charter School (District),4980000,MATH,92,23,9,2,83,21,202,51,101,26,395,98,484,28,352
Veritas Preparatory Charter School (District),4980000,SCI,38,28,3,2,35,26,59,43,39,29,136,96,484,,
Wachusett,7750000,ELA,1760,57,271,9,1489,48,1115,36,228,7,3103,97,503,36,2010
Wachusett,7750000,MATH,1308,42,132,4,1176,38,1468,47,319,10,3095,96,496,31,2010
Wachusett,7750000,SCI,561,55,95,9,466,46,391,38,71,7,1023,96,503,,
Wakefield,3050000,ELA,818,53,103,7,715,46,574,37,151,10,1543,97,500,36,974
Wakefield,3050000,MATH,608,39,59,4,549,36,759,49,179,12,1546,97,494,28,977
Wakefield,3050000,SCI,262,54,45,9,217,45,184,38,40,8,486,96,502,,
Wales,3060000,ELA,37,58,2,3,35,55,25,39,2,3,64,96,502,37,35
Wales,3060000,MATH,28,44,1,2,27,42,30,47,6,9,64,96,494,49,35
Wales,3060000,SCI,11,48,0,0,11,48,10,43,2,9,23,96,495,,
Walpole,3070000,ELA,1019,62,170,10,849,52,483,30,135,8,1637,99,505,36,1034
Walpole,3070000,MATH,949,58,162,10,787,48,564,34,125,8,1638,99,503,36,1034
Walpole,3070000,SCI,289,56,69,13,220,43,189,37,37,7,515,99,504,,
Waltham,3080000,ELA,1008,42,195,8,813,34,978,41,427,18,2413,98,495,42,1356
Waltham,3080000,MATH,726,30,79,3,647,27,1080,45,599,25,2405,98,487,34,1351
Waltham,3080000,SCI,221,30,36,5,185,25,313,43,195,27,729,97,487,,
Ware,3090000,ELA,186,34,8,1,178,33,250,46,109,20,545,98,490,36,361
Ware,3090000,MATH,99,18,2,0,97,18,273,50,171,31,543,97,480,31,358
Ware,3090000,SCI,70,36,10,5,60,31,87,45,38,19,195,96,491,,
Wareham,3100000,ELA,310,31,25,3,285,29,471,48,210,21,991,98,490,33,609
Wareham,3100000,MATH,146,15,7,1,139,14,506,51,339,34,991,98,479,27,607
Wareham,3100000,SCI,74,28,9,3,65,24,137,51,58,22,269,98,489,,
Watertown,3140000,ELA,502,46,92,8,410,37,441,40,152,14,1095,97,497,40,643
Watertown,3140000,MATH,334,31,36,3,298,27,546,50,215,20,1095,97,489,34,644
Watertown,3140000,SCI,171,47,36,10,135,37,143,40,47,13,361,99,498,,
Wayland,3150000,ELA,910,73,207,17,703,57,293,24,36,3,1239,96,511,44,744
Wayland,3150000,MATH,809,66,177,14,632,51,365,30,60,5,1234,96,508,37,740
Wayland,3150000,SCI,296,76,80,21,216,56,79,20,12,3,387,93,513,,
Webster,3160000,ELA,216,27,17,2,199,24,399,49,199,24,814,95,486,30,467
Webster,3160000,MATH,108,14,7,1,101,13,382,49,297,38,787,92,477,23,447
Webster,3160000,SCI,65,25,5,2,60,23,129,50,65,25,259,89,485,,
Wellesley,3170000,ELA,1535,75,450,22,1085,53,429,21,86,4,2050,98,514,44,1265
Wellesley,3170000,MATH,1266,62,265,13,1001,49,656,32,129,6,2051,98,506,34,1262
Wellesley,3170000,SCI,453,69,124,19,329,50,183,28,20,3,656,99,510,,
Wellfleet,3180000,ELA,23,49,4,9,19,40,17,36,7,15,47,96,504,,10
Wellfleet,3180000,MATH,23,49,1,2,22,47,18,38,6,13,47,96,499,,10
Wellfleet,3180000,SCI,5,38,1,8,4,31,5,38,3,23,13,87,499,,
West Boylston,3220000,ELA,228,58,42,11,186,47,132,34,32,8,392,96,504,41,246
West Boylston,3220000,MATH,197,50,25,6,172,44,148,38,47,12,392,96,498,36,245
West Boylston,3220000,SCI,63,53,12,10,51,43,45,38,10,8,118,92,502,,
West Bridgewater,3230000,ELA,291,51,37,6,254,44,226,39,59,10,576,93,499,36,375
West Bridgewater,3230000,MATH,139,24,17,3,122,21,331,58,103,18,573,93,487,21,372
West Bridgewater,3230000,SCI,78,40,9,5,69,35,91,47,26,13,195,93,494,,
West Springfield,3320000,ELA,710,41,100,6,610,35,740,43,279,16,1729,97,494,37,1046
West Springfield,3320000,MATH,472,27,50,3,422,24,847,49,407,24,1726,97,487,27,1044
West Springfield,3320000,SCI,188,36,24,5,164,31,226,43,107,21,521,95,492,,
Westborough,3210000,ELA,1252,72,346,20,906,52,387,22,93,5,1732,97,512,53,1026
Westborough,3210000,MATH,1085,63,276,16,809,47,526,30,117,7,1728,97,507,45,1029
Westborough,3210000,SCI,329,62,74,14,255,48,161,30,39,7,529,97,506,,
Westfield,3250000,ELA,839,42,114,6,725,37,801,40,341,17,1981,92,494,35,1252
Westfield,3250000,MATH,535,27,35,2,500,25,969,49,471,24,1975,92,486,25,1251
Westfield,3250000,SCI,235,37,30,5,205,32,289,45,114,18,638,91,492,,
Westford,3260000,ELA,1565,73,362,17,1203,56,497,23,93,4,2155,98,511,47,1405
Westford,3260000,MATH,1403,65,338,16,1065,49,649,30,101,5,2153,98,508,39,1401
Westford,3260000,SCI,490,69,125,17,365,51,199,28,26,4,715,98,510,,
Westhampton,3270000,ELA,41,63,9,14,32,49,23,35,1,2,65,97,507,48,36
Westhampton,3270000,MATH,36,55,8,12,28,43,24,37,5,8,65,97,503,45,36
Westhampton,3270000,SCI,9,56,2,13,7,44,7,44,0,0,16,94,506,,
Weston,3300000,ELA,648,76,214,25,434,51,178,21,23,3,849,98,515,45,542
Weston,3300000,MATH,587,69,153,18,434,51,219,26,44,5,850,98,510,40,541
Weston,3300000,SCI,219,73,89,30,130,44,70,23,9,3,298,99,516,,
Westport,3310000,ELA,302,45,25,4,277,41,278,41,90,13,670,96,496,33,429
Westport,3310000,MATH,254,37,10,1,244,36,332,49,93,14,679,97,492,30,436
Westport,3310000,SCI,107,50,18,8,89,41,81,38,27,13,215,96,500,,
Westwood,3350000,ELA,991,75,330,25,661,50,271,21,54,4,1316,99,515,44,852
Westwood,3350000,MATH,809,62,171,13,638,49,425,32,80,6,1314,99,506,31,850
Westwood,3350000,SCI,295,70,73,17,222,52,111,26,17,4,423,100,511,,
Weymouth,3360000,ELA,1049,42,146,6,903,37,1012,41,408,17,2469,99,494,31,1537
Weymouth,3360000,MATH,738,30,88,4,650,26,1230,50,499,20,2467,99,489,29,1533
Weymouth,3360000,SCI,255,35,27,4,228,31,341,47,132,18,728,98,492,,
Whately,3370000,ELA,33,63,13,25,20,38,16,31,3,6,52,98,508,51,25
Whately,3370000,MATH,25,47,3,6,22,42,21,40,7,13,53,100,497,31,25
Whately,3370000,SCI,6,60,2,20,4,40,4,40,0,0,10,91,508,,
Whitman-Hanson,7800000,ELA,803,49,131,8,672,41,667,40,179,11,1649,96,499,36,1077
Whitman-Hanson,7800000,MATH,529,32,31,2,498,30,849,51,277,17,1655,97,490,32,1080
Whitman-Hanson,7800000,SCI,250,43,34,6,216,37,255,44,77,13,582,97,496,,
Williamsburg,3400000,ELA,45,70,11,17,34,53,15,23,4,6,64,89,511,53,34
Williamsburg,3400000,MATH,29,45,4,6,25,38,29,45,7,11,65,90,498,33,35
Williamsburg,3400000,SCI,11,52,0,0,11,52,8,38,2,10,21,81,499,,
Wilmington,3420000,ELA,755,56,87,6,668,50,477,35,114,8,1346,93,501,35,870
Wilmington,3420000,MATH,622,46,74,5,548,41,600,45,126,9,1348,93,498,31,874
Wilmington,3420000,SCI,220,50,36,8,184,42,185,42,36,8,441,93,500,,
Winchendon,3430000,ELA,182,33,16,3,166,30,282,51,92,17,556,96,491,40,319
Winchendon,3430000,MATH,72,13,3,1,69,12,310,56,171,31,553,96,480,32,319
Winchendon,3430000,SCI,54,31,2,1,52,30,90,52,29,17,173,97,491,,
Winchester,3440000,ELA,1478,73,318,16,1160,57,481,24,72,4,2031,95,511,37,1256
Winchester,3440000,MATH,1220,61,258,13,962,48,681,34,108,5,2009,94,506,30,1240
Winchester,3440000,SCI,454,73,133,21,321,52,155,25,12,2,621,94,513,,
Winthrop,3460000,ELA,379,46,43,5,336,40,352,42,99,12,830,98,496,31,531
Winthrop,3460000,MATH,218,26,21,3,197,24,455,55,159,19,832,99,488,25,535
Winthrop,3460000,SCI,86,33,12,5,74,29,133,52,38,15,257,99,493,,
Woburn,3470000,ELA,888,46,125,7,763,40,782,41,249,13,1919,97,497,36,1179
Woburn,3470000,MATH,640,33,66,3,574,30,942,49,336,18,1918,97,491,33,1178
Woburn,3470000,SCI,252,40,36,6,216,34,285,45,100,16,637,96,494,,
Worcester,3480000,ELA,2743,28,393,4,2350,24,4182,43,2785,29,9710,92,486,30,5507
Worcester,3480000,MATH,1478,15,137,1,1341,14,4343,45,3873,40,9694,92,477,25,5493
Worcester,3480000,SCI,550,21,52,2,498,19,1152,45,868,34,2570,87,482,,
Worthington,3490000,ELA,21,60,0,0,21,60,8,23,6,17,35,100,495,,13
Worthington,3490000,MATH,10,29,0,0,10,29,18,51,7,20,35,100,485,,13
Wrentham,3500000,ELA,317,61,59,11,258,50,162,31,38,7,517,100,505,35,239
Wrentham,3500000,MATH,195,38,14,3,181,35,249,48,73,14,517,100,492,24,239
Wrentham,3500000,SCI,71,58,14,11,57,47,40,33,11,9,122,100,505,,
State,0,ELA,182190,46,31541,8,150649,38,149728,38,63826,16,395744,95,497,36,245966
State,0,MATH,132105,33,18518,5,113587,29,176477,45,86908,22,395490,95,490,30,245839
State,0,SCI,49372,42,8668,7,40704,34,48191,41,20446,17,118009,94,495,,